or_code;or_siren;or_nom;or_type;or_activ;or_l331;or_siret;or_nometab;or_ad_code;or_nomvoie;or_numero;or_rep;or_local;or_postal;or_commune;or_telfixe;or_mail;or_comment;or_creadat;or_majdate;or_majsrc;or_abddate;or_abdsrc
OR700000000268;;COMMUNE;70231;;;;;;;;;;70130;Ferrières-lès-Ray;;;;24/07/2018;;;;
OR700000000269;;COMMUNE;70232;;;;;;;;;;70360;Ferrières-lès-Scey;;;;24/07/2018;;;;
OR700000000270;;COMMUNE;70233;;;;;;;;;;70310;Les Fessey;;;;24/07/2018;;;;
OR700000000271;;COMMUNE;70234;;;;;;;;;;70230;Filain;;;;24/07/2018;;;;
OR700000000272;;COMMUNE;70235;;;;;;;;;;70000;Flagy;;;;24/07/2018;;;;
OR700000000273;;COMMUNE;70236;;;;;;;;;;70160;Fleurey-lès-Faverney;;;;24/07/2018;;;;
OR700000000274;;COMMUNE;70237;;;;;;;;;;70120;Fleurey-lès-Lavoncourt;;;;24/07/2018;;;;
OR700000000275;;COMMUNE;70238;;;;;;;;;;70800;Fleurey-lès-Saint-Loup;;;;24/07/2018;;;;
OR700000000276;;COMMUNE;70239;;;;;;;;;;70190;Fondremand;;;;24/07/2018;;;;
OR700000000277;;COMMUNE;70240;;;;;;;;;;70800;Fontaine-lès-Luxeuil;;;;24/07/2018;;;;
OR700000000278;;COMMUNE;70242;;;;;;;;;;70210;Fontenois-la-Ville;;;;24/07/2018;;;;
OR700000000279;;COMMUNE;70243;;;;;;;;;;70230;Fontenois-lès-Montbozon;;;;24/07/2018;;;;
OR700000000280;;COMMUNE;70244;;;;;;;;;;70160;Fouchécourt;;;;24/07/2018;;;;
OR700000000281;;COMMUNE;70245;;;;;;;;;;70220;Fougerolles;;;;24/07/2018;;;;
OR700000000282;;COMMUNE;70247;;;;;;;;;;70600;Fouvent-Saint-Andoche;;;;24/07/2018;;;;
OR700000000283;;COMMUNE;70248;;;;;;;;;;70400;Frahier-et-Chatebier;;;;24/07/2018;;;;
OR700000000284;;COMMUNE;70252;;;;;;;;;;70600;Framont;;;;24/07/2018;;;;
OR700000000285;;COMMUNE;70249;;;;;;;;;;70800;Francalmont;;;;24/07/2018;;;;
OR700000000286;;COMMUNE;70250;;;;;;;;;;70200;Franchevelle;;;;24/07/2018;;;;
OR700000000287;;COMMUNE;70251;;;;;;;;;;70180;Francourt;;;;24/07/2018;;;;
OR700000000288;;COMMUNE;70253;;;;;;;;;;70700;Frasne-le-Château;;;;24/07/2018;;;;
OR700000000289;;COMMUNE;70254;;;;;;;;;;70200;Frédéric-Fontaine;;;;24/07/2018;;;;
OR700000000290;;COMMUNE;70255;;;;;;;;;;70130;Fresne-Saint-Mamès;;;;24/07/2018;;;;
OR700000000291;;COMMUNE;70256;;;;;;;;;;70270;Fresse;;;;24/07/2018;;;;
OR700000000292;;COMMUNE;70257;;;;;;;;;;70130;Fretigney-et-Velloreille;;;;24/07/2018;;;;
OR700000000293;;COMMUNE;70258;;;;;;;;;;70300;Froideconche;;;;24/07/2018;;;;
OR700000000294;;COMMUNE;70259;;;;;;;;;;70200;Froideterre;;;;24/07/2018;;;;
OR700000000295;;COMMUNE;70260;;;;;;;;;;70200;Frotey-lès-Lure;;;;24/07/2018;;;;
OR700000000296;;COMMUNE;70261;;;;;;;;;;70000;Frotey-lès-Vesoul;;;;24/07/2018;;;;
OR700000000297;;COMMUNE;70262;;;;;;;;;;70240;Genevreuille;;;;24/07/2018;;;;
OR700000000298;;COMMUNE;70263;;;;;;;;;;70240;Genevrey;;;;24/07/2018;;;;
OR700000000299;;COMMUNE;70264;;;;;;;;;;70110;Georfans;;;;24/07/2018;;;;
OR700000000300;;COMMUNE;70265;;;;;;;;;;70100;Germigney;;;;24/07/2018;;;;
OR700000000301;;COMMUNE;70267;;;;;;;;;;70500;Gevigney-et-Mercey;;;;24/07/2018;;;;
OR700000000302;;COMMUNE;70268;;;;;;;;;;70700;Gézier-et-Fontenelay;;;;24/07/2018;;;;
OR700000000303;;COMMUNE;70269;;;;;;;;;;70210;Girefontaine;;;;24/07/2018;;;;
OR700000000304;;COMMUNE;70271;;;;;;;;;;70110;Gouhenans;;;;24/07/2018;;;;
OR700000000305;;COMMUNE;70272;;;;;;;;;;70120;Gourgeon;;;;24/07/2018;;;;
OR700000000306;;COMMUNE;70273;;;;;;;;;;70110;Grammont;;;;24/07/2018;;;;
OR700000000307;;COMMUNE;70274;;;;;;;;;;70120;Grandecourt;;;;24/07/2018;;;;
OR700000000308;;COMMUNE;70443;;;;;;;;;;70140;La Grande-Résie;;;;24/07/2018;;;;
OR700000000309;;COMMUNE;70275;;;;;;;;;;70190;Grandvelle-et-le-Perrenot;;;;24/07/2018;;;;
OR700000000310;;COMMUNE;70276;;;;;;;;;;70400;Granges-la-Ville;;;;24/07/2018;;;;
OR700000000311;;COMMUNE;70277;;;;;;;;;;70400;Granges-le-Bourg;;;;24/07/2018;;;;
OR700000000312;;COMMUNE;70278;;;;;;;;;;70170;Grattery;;;;24/07/2018;;;;
OR700000000313;;COMMUNE;70279;;;;;;;;;;70100;Gray;;;;24/07/2018;;;;
OR700000000314;;COMMUNE;70280;;;;;;;;;;70100;Gray-la-Ville;;;;24/07/2018;;;;
OR700000000315;;COMMUNE;70282;;;;;;;;;;70700;Gy;;;;24/07/2018;;;;
OR700000000316;;COMMUNE;70283;;;;;;;;;;70440;Haut-du-Them-Château-Lambert;;;;24/07/2018;;;;
OR700000000317;;COMMUNE;70284;;;;;;;;;;70800;Hautevelle;;;;24/07/2018;;;;
OR700000000318;;COMMUNE;70285;;;;;;;;;;70400;Héricourt;;;;24/07/2018;;;;
OR700000000319;;COMMUNE;70286;;;;;;;;;;70150;Hugier;;;;24/07/2018;;;;
OR700000000320;;COMMUNE;70287;;;;;;;;;;70210;Hurecourt;;;;24/07/2018;;;;
OR700000000321;;COMMUNE;70288;;;;;;;;;;70190;Hyet;;;;24/07/2018;;;;
OR700000000322;;COMMUNE;70289;;;;;;;;;;70700;Igny;;;;24/07/2018;;;;
OR700000000323;;COMMUNE;70290;;;;;;;;;;70800;Jasney;;;;24/07/2018;;;;
OR700000000324;;COMMUNE;70291;;;;;;;;;;70500;Jonvelle;;;;24/07/2018;;;;
OR700000000325;;COMMUNE;70292;;;;;;;;;;70500;Jussey;;;;24/07/2018;;;;
OR700000000326;;COMMUNE;70293;;;;;;;;;;70500;Lambrey;;;;24/07/2018;;;;
OR700000000327;;COMMUNE;70294;;;;;;;;;;70200;Lantenot;;;;24/07/2018;;;;
OR700000000328;;COMMUNE;70295;;;;;;;;;;70270;La Lanterne-et-les-Armonts;;;;24/07/2018;;;;
OR700000000329;;COMMUNE;70296;;;;;;;;;;70230;Larians-et-Munans;;;;24/07/2018;;;;
OR700000000330;;COMMUNE;70297;;;;;;;;;;70600;Larret;;;;24/07/2018;;;;
OR700000000331;;COMMUNE;70298;;;;;;;;;;70120;Lavigney;;;;24/07/2018;;;;
OR700000000332;;COMMUNE;70299;;;;;;;;;;70120;Lavoncourt;;;;24/07/2018;;;;
OR700000000333;;COMMUNE;70301;;;;;;;;;;70190;Lieffrans;;;;24/07/2018;;;;
OR700000000334;;COMMUNE;70302;;;;;;;;;;70140;Lieucourt;;;;24/07/2018;;;;
OR700000000335;;COMMUNE;70303;;;;;;;;;;70240;Liévans;;;;24/07/2018;;;;
OR700000000336;;COMMUNE;70304;;;;;;;;;;70200;Linexert;;;;24/07/2018;;;;
OR700000000337;;COMMUNE;70305;;;;;;;;;;70100;Lœuilley;;;;24/07/2018;;;;
OR700000000338;;COMMUNE;70306;;;;;;;;;;70200;Lomont;;;;24/07/2018;;;;
OR700000000339;;COMMUNE;70307;;;;;;;;;;70110;Longevelle;;;;24/07/2018;;;;
OR700000000340;;COMMUNE;70308;;;;;;;;;;70310;La Longine;;;;24/07/2018;;;;
OR700000000341;;COMMUNE;70309;;;;;;;;;;70230;Loulans-Verchamp;;;;24/07/2018;;;;
OR700000000342;;COMMUNE;70310;;;;;;;;;;70200;Lure;;;;24/07/2018;;;;
OR700000000343;;COMMUNE;70311;;;;;;;;;;70300;Luxeuil-les-Bains;;;;24/07/2018;;;;
OR700000000344;;COMMUNE;70312;;;;;;;;;;70400;Luze;;;;24/07/2018;;;;
OR700000000345;;COMMUNE;70313;;;;;;;;;;70200;Lyoffans;;;;24/07/2018;;;;
OR700000000346;;COMMUNE;70314;;;;;;;;;;70300;Magnivray;;;;24/07/2018;;;;
OR700000000347;;COMMUNE;70315;;;;;;;;;;70800;Magnoncourt;;;;24/07/2018;;;;
OR700000000348;;COMMUNE;70316;;;;;;;;;;70000;Le Magnoray;;;;24/07/2018;;;;
OR700000000349;;COMMUNE;70317;;;;;;;;;;70110;Les Magny;;;;24/07/2018;;;;
OR700000000350;;COMMUNE;70318;;;;;;;;;;70200;Magny-Danigon;;;;24/07/2018;;;;
OR700000000351;;COMMUNE;70319;;;;;;;;;;70200;Magny-Jobert;;;;24/07/2018;;;;
OR700000000352;;COMMUNE;70320;;;;;;;;;;70500;Magny-lès-Jussey;;;;24/07/2018;;;;
OR700000000353;;COMMUNE;70321;;;;;;;;;;70200;Magny-Vernois;;;;24/07/2018;;;;
OR700000000354;;COMMUNE;70322;;;;;;;;;;70240;Mailleroncourt-Charette;;;;24/07/2018;;;;
OR700000000355;;COMMUNE;70323;;;;;;;;;;70210;Mailleroncourt-Saint-Pancras;;;;24/07/2018;;;;
OR700000000356;;COMMUNE;70324;;;;;;;;;;70000;Mailley-et-Chazelot;;;;24/07/2018;;;;
OR700000000357;;COMMUNE;70325;;;;;;;;;;70190;Maizières;;;;24/07/2018;;;;
OR700000000358;;COMMUNE;70326;;;;;;;;;;70190;La Malachère;;;;24/07/2018;;;;
OR700000000359;;COMMUNE;70327;;;;;;;;;;70140;Malans;;;;24/07/2018;;;;
OR700000000360;;COMMUNE;70328;;;;;;;;;;70200;Malbouhans;;;;24/07/2018;;;;
OR700000000361;;COMMUNE;70329;;;;;;;;;;70120;Malvillers;;;;24/07/2018;;;;
OR700000000362;;COMMUNE;70330;;;;;;;;;;70400;Mandrevillars;;;;24/07/2018;;;;
OR700000000363;;COMMUNE;70331;;;;;;;;;;70100;Mantoche;;;;24/07/2018;;;;
OR700000000364;;COMMUNE;70332;;;;;;;;;;70110;Marast;;;;24/07/2018;;;;
OR700000000365;;COMMUNE;70334;;;;;;;;;;70150;Marnay;;;;24/07/2018;;;;
OR700000000366;;COMMUNE;70335;;;;;;;;;;70230;Maussans;;;;24/07/2018;;;;
OR700000000367;;COMMUNE;70336;;;;;;;;;;70110;Mélecey;;;;24/07/2018;;;;
OR700000000368;;COMMUNE;70338;;;;;;;;;;70210;Melincourt;;;;24/07/2018;;;;
OR700000000369;;COMMUNE;70339;;;;;;;;;;70270;Mélisey;;;;24/07/2018;;;;
OR700000000370;;COMMUNE;70340;;;;;;;;;;70180;Membrey;;;;24/07/2018;;;;
OR700000000371;;COMMUNE;70341;;;;;;;;;;70160;Menoux;;;;24/07/2018;;;;
OR700000000372;;COMMUNE;70342;;;;;;;;;;70130;Mercey-sur-Saône;;;;24/07/2018;;;;
OR700000000373;;COMMUNE;70343;;;;;;;;;;70160;Mersuay;;;;24/07/2018;;;;
OR700000000374;;COMMUNE;70344;;;;;;;;;;70300;Meurcourt;;;;24/07/2018;;;;
OR700000000375;;COMMUNE;70348;;;;;;;;;;70200;Moffans-et-Vacheresse;;;;24/07/2018;;;;
OR700000000376;;COMMUNE;70349;;;;;;;;;;70110;Moimay;;;;24/07/2018;;;;
OR700000000377;;COMMUNE;70350;;;;;;;;;;70120;Molay;;;;24/07/2018;;;;
OR700000000378;;COMMUNE;70351;;;;;;;;;;70240;Mollans;;;;24/07/2018;;;;
OR700000000379;;COMMUNE;70352;;;;;;;;;;70310;La Montagne;;;;24/07/2018;;;;
OR700000000380;;COMMUNE;70353;;;;;;;;;;70140;Montagney;;;;24/07/2018;;;;
OR700000000381;;COMMUNE;70355;;;;;;;;;;70190;Montarlot-lès-Rioz;;;;24/07/2018;;;;
OR700000000382;;COMMUNE;70356;;;;;;;;;;70700;Montboillon;;;;24/07/2018;;;;
OR700000000383;;COMMUNE;70357;;;;;;;;;;70230;Montbozon;;;;24/07/2018;;;;
OR700000000384;;COMMUNE;70358;;;;;;;;;;70000;Montcey;;;;24/07/2018;;;;
OR700000000385;;COMMUNE;70359;;;;;;;;;;70500;Montcourt;;;;24/07/2018;;;;
OR700000000386;;COMMUNE;70360;;;;;;;;;;70210;Montdoré;;;;24/07/2018;;;;
OR700000000387;;COMMUNE;70361;;;;;;;;;;70270;Montessaux;;;;24/07/2018;;;;
OR700000000388;;COMMUNE;70362;;;;;;;;;;70500;Montigny-lès-Cherlieu;;;;24/07/2018;;;;
OR700000000389;;COMMUNE;70363;;;;;;;;;;70000;Montigny-lès-Vesoul;;;;24/07/2018;;;;
OR700000000390;;COMMUNE;70364;;;;;;;;;;70110;Montjustin-et-Velotte;;;;24/07/2018;;;;
OR700000000391;;COMMUNE;70367;;;;;;;;;;70000;Mont-le-Vernois;;;;24/07/2018;;;;
OR700000000392;;COMMUNE;70368;;;;;;;;;;70180;Montot;;;;24/07/2018;;;;
OR700000000393;;COMMUNE;70369;;;;;;;;;;70120;Mont-Saint-Léger;;;;24/07/2018;;;;
OR700000000394;;COMMUNE;70371;;;;;;;;;;70100;Montureux-et-Prantigny;;;;24/07/2018;;;;
OR700000000395;;COMMUNE;70372;;;;;;;;;;70500;Montureux-lès-Baulay;;;;24/07/2018;;;;
OR700000000396;;COMMUNE;70374;;;;;;;;;;70140;Motey-Besuche;;;;24/07/2018;;;;
OR700000000397;;COMMUNE;70375;;;;;;;;;;70130;Motey-sur-Saône;;;;24/07/2018;;;;
OR700000000398;;COMMUNE;70376;;;;;;;;;;70100;Nantilly;;;;24/07/2018;;;;
OR700000000399;;COMMUNE;70378;;;;;;;;;;70000;Navenne;;;;24/07/2018;;;;
OR700000000400;;COMMUNE;70380;;;;;;;;;;70160;Neurey-en-Vaux;;;;24/07/2018;;;;
OR700000000401;;COMMUNE;70381;;;;;;;;;;70000;Neurey-lès-la-Demie;;;;24/07/2018;;;;
OR700000000402;;COMMUNE;70383;;;;;;;;;;70190;Neuvelle-lès-Cromary;;;;24/07/2018;;;;
OR700000000403;;COMMUNE;70384;;;;;;;;;;70130;Neuvelle-lès-la-Charité;;;;24/07/2018;;;;
OR700000000404;;COMMUNE;70385;;;;;;;;;;70200;La Neuvelle-lès-Lure;;;;24/07/2018;;;;
OR700000000405;;COMMUNE;70386;;;;;;;;;;70360;La Neuvelle-lès-Scey;;;;24/07/2018;;;;
OR700000000406;;COMMUNE;70387;;;;;;;;;;70130;Noidans-le-Ferroux;;;;24/07/2018;;;;
OR700000000407;;COMMUNE;70388;;;;;;;;;;70000;Noidans-lès-Vesoul;;;;24/07/2018;;;;
OR700000000408;;COMMUNE;70389;;;;;;;;;;70100;Noiron;;;;24/07/2018;;;;
OR700000000409;;COMMUNE;70390;;;;;;;;;;70000;Noroy-le-Bourg;;;;24/07/2018;;;;
OR700000000410;;COMMUNE;70392;;;;;;;;;;70120;Oigney;;;;24/07/2018;;;;
OR700000000411;;COMMUNE;70393;;;;;;;;;;70700;Oiselay-et-Grachaux;;;;24/07/2018;;;;
OR700000000412;;COMMUNE;70394;;;;;;;;;;70100;Onay;;;;24/07/2018;;;;
OR700000000413;;COMMUNE;70395;;;;;;;;;;70110;Oppenans;;;;24/07/2018;;;;
OR700000000414;;COMMUNE;70396;;;;;;;;;;70110;Oricourt;;;;24/07/2018;;;;
OR700000000415;;COMMUNE;70397;;;;;;;;;;70230;Ormenans;;;;24/07/2018;;;;
OR700000000416;;COMMUNE;70398;;;;;;;;;;70300;Ormoiche;;;;24/07/2018;;;;
OR700000000417;;COMMUNE;70399;;;;;;;;;;70500;Ormoy;;;;24/07/2018;;;;
OR700000000418;;COMMUNE;70400;;;;;;;;;;70500;Ouge;;;;24/07/2018;;;;
OR700000000419;;COMMUNE;70401;;;;;;;;;;70360;Ovanches;;;;24/07/2018;;;;
OR700000000420;;COMMUNE;70402;;;;;;;;;;70600;Oyrières;;;;24/07/2018;;;;
OR700000000421;;COMMUNE;70403;;;;;;;;;;70200;Palante;;;;24/07/2018;;;;
OR700000000422;;COMMUNE;70404;;;;;;;;;;70210;Passavant-la-Rochère;;;;24/07/2018;;;;
OR700000000423;;COMMUNE;70405;;;;;;;;;;70190;Pennesières;;;;24/07/2018;;;;
OR700000000424;;COMMUNE;70406;;;;;;;;;;70600;Percey-le-Grand;;;;24/07/2018;;;;
OR700000000425;;COMMUNE;70407;;;;;;;;;;70190;Perrouse;;;;24/07/2018;;;;
OR700000000426;;COMMUNE;70408;;;;;;;;;;70140;Pesmes;;;;24/07/2018;;;;
OR700000000427;;COMMUNE;70409;;;;;;;;;;70600;Pierrecourt;;;;24/07/2018;;;;
OR700000000428;;COMMUNE;70410;;;;;;;;;;70150;Pin;;;;24/07/2018;;;;
OR700000000429;;COMMUNE;70411;;;;;;;;;;70800;La Pisseure;;;;24/07/2018;;;;
OR700000000430;;COMMUNE;70412;;;;;;;;;;70800;Plainemont;;;;24/07/2018;;;;
OR700000000431;;COMMUNE;70413;;;;;;;;;;70290;Plancher-Bas;;;;24/07/2018;;;;
OR700000000432;;COMMUNE;70414;;;;;;;;;;70290;Plancher-les-Mines;;;;24/07/2018;;;;
OR700000000433;;COMMUNE;70415;;;;;;;;;;70210;Polaincourt-et-Clairefontaine;;;;24/07/2018;;;;
OR700000000434;;COMMUNE;70416;;;;;;;;;;70240;Pomoy;;;;24/07/2018;;;;
OR700000000435;;COMMUNE;70417;;;;;;;;;;70360;Pontcey;;;;24/07/2018;;;;
OR700000000436;;COMMUNE;70418;;;;;;;;;;70130;La Romaine;;;;24/07/2018;;;;
OR700000000437;;COMMUNE;70419;;;;;;;;;;70210;Pont-du-Bois;;;;24/07/2018;;;;
OR700000000438;;COMMUNE;70420;;;;;;;;;;70110;Pont-sur-l'Ognon;;;;24/07/2018;;;;
OR700000000439;;COMMUNE;70421;;;;;;;;;;70170;Port-sur-Saône;;;;24/07/2018;;;;
OR700000000440;;COMMUNE;70422;;;;;;;;;;70100;Poyans;;;;24/07/2018;;;;
OR700000000441;;COMMUNE;70423;;;;;;;;;;70120;Preigney;;;;24/07/2018;;;;
OR700000000442;;COMMUNE;70425;;;;;;;;;;70310;La Proiselière-et-Langle;;;;24/07/2018;;;;
OR700000000443;;COMMUNE;70426;;;;;;;;;;70170;Provenchère;;;;24/07/2018;;;;
OR700000000444;;COMMUNE;70427;;;;;;;;;;70160;Purgerot;;;;24/07/2018;;;;
OR700000000445;;COMMUNE;70428;;;;;;;;;;70000;Pusey;;;;24/07/2018;;;;
OR700000000446;;COMMUNE;70429;;;;;;;;;;70000;Pusy-et-Épenoux;;;;24/07/2018;;;;
OR700000000447;;COMMUNE;70430;;;;;;;;;;70120;La Quarte;;;;24/07/2018;;;;
OR700000000448;;COMMUNE;70431;;;;;;;;;;70190;Quenoche;;;;24/07/2018;;;;
OR700000000449;;COMMUNE;70432;;;;;;;;;;70200;Quers;;;;24/07/2018;;;;
OR700000000450;;COMMUNE;70433;;;;;;;;;;70000;Quincey;;;;24/07/2018;;;;
OR700000000451;;COMMUNE;70435;;;;;;;;;;70280;Raddon-et-Chapendu;;;;24/07/2018;;;;
OR700000000452;;COMMUNE;70436;;;;;;;;;;70500;Raincourt;;;;24/07/2018;;;;
OR700000000453;;COMMUNE;70437;;;;;;;;;;70500;Ranzevelle;;;;24/07/2018;;;;
OR700000000454;;COMMUNE;70438;;;;;;;;;;70130;Ray-sur-Saône;;;;24/07/2018;;;;
OR700000000455;;COMMUNE;70439;;;;;;;;;;70000;Raze;;;;24/07/2018;;;;
OR700000000456;;COMMUNE;70440;;;;;;;;;;70130;Recologne;;;;24/07/2018;;;;
OR700000000457;;COMMUNE;70441;;;;;;;;;;70190;Recologne-lès-Rioz;;;;24/07/2018;;;;
OR700000000458;;COMMUNE;70442;;;;;;;;;;70120;Renaucourt;;;;24/07/2018;;;;
OR700000000459;;COMMUNE;70444;;;;;;;;;;70140;La Résie-Saint-Martin;;;;24/07/2018;;;;
OR700000000460;;COMMUNE;70445;;;;;;;;;;70200;Rignovelle;;;;24/07/2018;;;;
OR700000000461;;COMMUNE;70446;;;;;;;;;;70100;Rigny;;;;24/07/2018;;;;
OR700000000462;;COMMUNE;70447;;;;;;;;;;70190;Rioz;;;;24/07/2018;;;;
OR700000000463;;COMMUNE;70448;;;;;;;;;;70180;Roche-et-Raucourt;;;;24/07/2018;;;;
OR700000000464;;COMMUNE;70450;;;;;;;;;;70120;La Rochelle;;;;24/07/2018;;;;
OR700000000465;;COMMUNE;70373;;;;;;;;;;70120;La Roche-Morey;;;;24/07/2018;;;;
OR700000000466;;COMMUNE;70449;;;;;;;;;;70230;Roche-sur-Linotte-et-Sorans-les-Cordiers;;;;24/07/2018;;;;
OR700000000467;;COMMUNE;70451;;;;;;;;;;70250;Ronchamp;;;;24/07/2018;;;;
OR700000000468;;COMMUNE;70452;;;;;;;;;;70000;Rosey;;;;24/07/2018;;;;
OR700000000469;;COMMUNE;70453;;;;;;;;;;70310;La Rosière;;;;24/07/2018;;;;
OR700000000470;;COMMUNE;70454;;;;;;;;;;70500;Rosières-sur-Mance;;;;24/07/2018;;;;
OR700000000471;;COMMUNE;70455;;;;;;;;;;70200;Roye;;;;24/07/2018;;;;
OR700000000472;;COMMUNE;70456;;;;;;;;;;70190;Ruhans;;;;24/07/2018;;;;
OR700000000473;;COMMUNE;70457;;;;;;;;;;70360;Rupt-sur-Saône;;;;24/07/2018;;;;
OR700000000474;;COMMUNE;70459;;;;;;;;;;70270;Saint-Barthélemy;;;;24/07/2018;;;;
OR700000000475;;COMMUNE;70460;;;;;;;;;;70280;Saint-Bresson;;;;24/07/2018;;;;
OR700000000476;;COMMUNE;70461;;;;;;;;;;70100;Saint-Broing;;;;24/07/2018;;;;
OR700000000477;;COMMUNE;70469;;;;;;;;;;70310;Sainte-Marie-en-Chanois;;;;24/07/2018;;;;
OR700000000478;;COMMUNE;70470;;;;;;;;;;70300;Sainte-Marie-en-Chaux;;;;24/07/2018;;;;
OR700000000479;;COMMUNE;70471;;;;;;;;;;70700;Sainte-Reine;;;;24/07/2018;;;;
OR700000000480;;COMMUNE;70462;;;;;;;;;;70110;Saint-Ferjeux;;;;24/07/2018;;;;
OR700000000481;;COMMUNE;70463;;;;;;;;;;70130;Saint-Gand;;;;24/07/2018;;;;
OR700000000482;;COMMUNE;70464;;;;;;;;;;70200;Saint-Germain;;;;24/07/2018;;;;
OR700000000483;;COMMUNE;70466;;;;;;;;;;70100;Saint-Loup-Nantouard;;;;24/07/2018;;;;
OR700000000484;;COMMUNE;70467;;;;;;;;;;70800;Saint-Loup-sur-Semouse;;;;24/07/2018;;;;
OR700000000485;;COMMUNE;70468;;;;;;;;;;70500;Saint-Marcel;;;;24/07/2018;;;;
OR700000000486;;COMMUNE;70472;;;;;;;;;;70160;Saint-Remy;;;;24/07/2018;;;;
OR700000000487;;COMMUNE;70473;;;;;;;;;;70300;Saint-Sauveur;;;;24/07/2018;;;;
OR700000000488;;COMMUNE;70474;;;;;;;;;;70110;Saint-Sulpice;;;;24/07/2018;;;;
OR700000000489;;COMMUNE;70475;;;;;;;;;;70300;Saint-Valbert;;;;24/07/2018;;;;
OR700000000490;;COMMUNE;70476;;;;;;;;;;70210;Saponcourt;;;;24/07/2018;;;;
OR700000000491;;COMMUNE;70477;;;;;;;;;;70400;Saulnot;;;;24/07/2018;;;;
OR700000000492;;COMMUNE;70478;;;;;;;;;;70240;Saulx;;;;24/07/2018;;;;
OR700000000493;;COMMUNE;70479;;;;;;;;;;70100;Sauvigney-lès-Gray;;;;24/07/2018;;;;
OR700000000494;;COMMUNE;70480;;;;;;;;;;70140;Sauvigney-lès-Pesmes;;;;24/07/2018;;;;
OR700000000495;;COMMUNE;70481;;;;;;;;;;70130;Savoyeux;;;;24/07/2018;;;;
OR700000000496;;COMMUNE;70482;;;;;;;;;;70360;Scey-sur-Saône-et-Saint-Albin;;;;24/07/2018;;;;
OR700000000497;;COMMUNE;70483;;;;;;;;;;70170;Scye;;;;24/07/2018;;;;
OR700000000498;;COMMUNE;70484;;;;;;;;;;70400;Secenans;;;;24/07/2018;;;;
OR700000000499;;COMMUNE;70485;;;;;;;;;;70210;Selles;;;;24/07/2018;;;;
OR700000000500;;COMMUNE;70486;;;;;;;;;;70120;Semmadon;;;;24/07/2018;;;;
OR700000000501;;COMMUNE;70487;;;;;;;;;;70110;Senargent-Mignafans;;;;24/07/2018;;;;
OR700000000502;;COMMUNE;70488;;;;;;;;;;70160;Senoncourt;;;;24/07/2018;;;;
OR700000000503;;COMMUNE;70489;;;;;;;;;;70440;Servance-Miellin;;;;24/07/2018;;;;
OR700000000504;;COMMUNE;70490;;;;;;;;;;70240;Servigney;;;;24/07/2018;;;;
OR700000000505;;COMMUNE;70491;;;;;;;;;;70130;Seveux;;;;24/07/2018;;;;
OR700000000506;;COMMUNE;70492;;;;;;;;;;70130;Soing-Cubry-Charentenay;;;;24/07/2018;;;;
OR700000000507;;COMMUNE;70493;;;;;;;;;;70190;Sorans-lès-Breurey;;;;24/07/2018;;;;
OR700000000508;;COMMUNE;70494;;;;;;;;;;70150;Sornay;;;;24/07/2018;;;;
OR700000000509;;COMMUNE;70496;;;;;;;;;;70500;Tartécourt;;;;24/07/2018;;;;
OR700000000510;;COMMUNE;70497;;;;;;;;;;70400;Tavey;;;;24/07/2018;;;;
OR700000000511;;COMMUNE;70498;;;;;;;;;;70270;Ternuay-Melay-et-Saint-Hilaire;;;;24/07/2018;;;;
OR700000000512;;COMMUNE;70499;;;;;;;;;;70120;Theuley;;;;24/07/2018;;;;
OR700000000513;;COMMUNE;70500;;;;;;;;;;70230;Thieffrans;;;;24/07/2018;;;;
OR700000000514;;COMMUNE;70501;;;;;;;;;;70230;Thiénans;;;;24/07/2018;;;;
OR700000000515;;COMMUNE;70502;;;;;;;;;;70120;Tincey-et-Pontrebeau;;;;24/07/2018;;;;
OR700000000516;;COMMUNE;70503;;;;;;;;;;70190;Traitiéfontaine;;;;24/07/2018;;;;
OR700000000517;;COMMUNE;70504;;;;;;;;;;70360;Traves;;;;24/07/2018;;;;
OR700000000518;;COMMUNE;70505;;;;;;;;;;70100;Le Tremblois;;;;24/07/2018;;;;
OR700000000519;;COMMUNE;70506;;;;;;;;;;70400;Trémoins;;;;24/07/2018;;;;
OR700000000520;;COMMUNE;70507;;;;;;;;;;70190;Trésilley;;;;24/07/2018;;;;
OR700000000521;;COMMUNE;70509;;;;;;;;;;70150;Tromarey;;;;24/07/2018;;;;
OR700000000522;;COMMUNE;70510;;;;;;;;;;70140;Vadans;;;;24/07/2018;;;;
OR700000000523;;COMMUNE;70511;;;;;;;;;;70180;Vaite;;;;24/07/2018;;;;
OR700000000524;;COMMUNE;70512;;;;;;;;;;70320;La Vaivre;;;;24/07/2018;;;;
OR700000000525;;COMMUNE;70513;;;;;;;;;;70000;Vaivre-et-Montoille;;;;24/07/2018;;;;
OR700000000526;;COMMUNE;70514;;;;;;;;;;70140;Valay;;;;24/07/2018;;;;
OR700000000527;;COMMUNE;70515;;;;;;;;;;70200;Le Val-de-Gouhenans;;;;24/07/2018;;;;
OR700000000528;;COMMUNE;70516;;;;;;;;;;70000;Vallerois-le-Bois;;;;24/07/2018;;;;
OR700000000529;;COMMUNE;70517;;;;;;;;;;70000;Vallerois-Lorioz;;;;24/07/2018;;;;
OR700000000530;;COMMUNE;70518;;;;;;;;;;70160;Le Val-Saint-Éloi;;;;24/07/2018;;;;
