gid;ad_code;ad_ban_id;ad_nomvoie;ad_fantoir;ad_numero;ad_rep;ad_insee;ad_postal;ad_alias;ad_nom_ld;ad_x_ban;ad_y_ban;ad_commune;ad_section;ad_idpar;ad_x_parc;ad_y_parc;ad_nat;ad_nblhab;ad_nblpro;ad_nbprhab;ad_nbprpro;ad_rivoli;ad_hexacle;ad_hexaclv;ad_distinf;ad_isole;ad_prio;ad_racc;ad_batcode;ad_nombat;ad_ietat;ad_itypeim;ad_imneuf;ad_idatimn;ad_prop;ad_gest;ad_idatsgn;ad_iaccgst;ad_idatcab;ad_idatcom;ad_typzone;ad_comment;ad_geolqlt;ad_geolmod;ad_geolsrc;ad_creadat;ad_majdate;ad_majsrc;ad_abddate;ad_abdsrc;nom_sro;nb_prises_totale;statut;cas_particuliers;nom_id;nom_pro;x;y;potentiel_ftte;geom
1;AD700BB0004867;ADRNIVX_0000000278283708;Port Saint-Martin;0279;4;;70026;70100;;;893016.384765991;6708558.93948802;Arc-lès-Gray;;2018700026000AH0008;893008.899451991;6708568.72688752;;1;0;1;0;;;;11;f;;7;;;;P;;;;;;;;;;;;;;2018-06-07 00:00:00;;;;;N070GAY_S01B;1;E;;1836;;893008.341600268;6708568.26377707;0;01010000206A080000FB3AE6AEA0402B4136B9E11056975941
2;AD700BB0004868;ADRNIVX_0000000278275957;Route de Prantigny;0167;2;;70371;70100;;;898629.666447298;6714228.68358116;Montureux-et-Prantigny;;;;;;1;1;1;1;;;;47;f;;0;;;;P;;;;;;;;;;;;;;2018-06-20 00:00:00;;;;;N070GAY_S01B;2;E;;43258;Entreprises;898575.669300969;6714260.56279649;1;01010000206A080000DC9DAE561F6C2B4197DB0424E59C5941
3;AD700BB0004870;ADRNIVX_0000000278282210;Rue des Varennes;0191;11;;70026;70100;;;894073.490317316;6709605.45769586;Arc-lès-Gray;;2018700026000AC0222;894086.486582663;6709589.86754498;;1;0;1;0;;;;19;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2467;;894078.549679371;6709590.82187713;0;01010000206A08000014936F19FD482B418DA299B455985941
4;AD700BB0004875;ADRNIVX_0000000278280347;Rue des Granges;0160;2;BIS;70026;70100;;;894684.010497606;6710144.14784927;Arc-lès-Gray;;2018700026000AP0146;894697.896663499;6710147.40289423;;1;0;1;0;;;;67;f;;7;;;;P;;;;;;;;;;;;;;2018-06-11 00:00:00;;;;;N070GAY_S01B;1;E;;1611;;894698.698772023;6710148.51283076;0;01010000206A0800005472C565D54D2B412138D220E1985941
5;AD700BB0004876;ADRNIVX_0000002005958888;Rue Louis Chauveau;0220;10;;70026;70100;;;894656.189941572;6709269.38524116;Arc-lès-Gray;;2018700026000AB0818;894611.268388486;6709254.16096699;;0;1;0;1;;;;135;f;;7;;;;P;;;;;;;;;;;;;;2018-06-11 00:00:00;;;;;N070GAY_S01B;1;C;;;Mairie;894589.595008451;6709245.3483295;1;01010000206A08000099F2A430FB4C2B41D6074B56FF975941
6;AD700BB0004877;ADRNIVX_0000000278281014;Rue Charles de Gaulle;0063;15;;70026;70100;;;895872.689014888;6709892.53363925;Arc-lès-Gray;;2018700026000AS0118;895870.218179636;6709906.84347126;;1;0;1;0;;;;26;f;;7;;;;P;;;;;;;;;;;;;;2018-06-13 00:00:00;;;;;N070GAY_S01B;1;E;;2149;;895862.90016082;6709910.07630673;0;01010000206A08000009E1E1CCED562B41A435E284A5985941
7;AD700BB0004934;ADRNIVX_0000000278281317;Chemin d'Autrey;0025;12;;70026;70100;;;893964.425745887;6709709.04590711;Arc-lès-Gray;;2018700026000AM0038;893935.451362526;6709772.29472592;;1;0;1;0;;;;54;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2204;;893970.007564214;6709757.5837055;0;01010000206A080000E874DF0324482B414C6E5B657F985941
8;AD700BB0004937;ADRNIVX_0000000278282217;Rue des Varennes;0191;19;;70026;70100;;;893984.433657638;6709525.52583823;Arc-lès-Gray;;2018700026000AC0192;893995.2827839;6709515.46345067;;1;0;1;0;;;;23;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2474;;893995.903398795;6709508.54291336;0;01010000206A0800006D498ACE57482B41AD17BF2241985941
9;AD700BB0004943;ADRNIVX_0000000354865962;Rue des Varennes;0191;5;;70026;70100;;;894179.195793076;6709678.71002419;Arc-lès-Gray;;2018700026000AC0277;894186.397257852;6709653.5379089;;1;0;1;0;;;;31;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1953;;894181.031067286;6709662.44865363;0;01010000206A080000220DE80FCA492B41BABDB69C67985941
10;AD700BB0004947;ADRNIVX_0000000278282155;Rue des Varennes;0191;1;;70026;70100;;;894246.235215136;6709680.23284995;Arc-lès-Gray;;2018700026000AC0171;894244.871555215;6709677.09822657;;1;0;1;0;;;;25;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1636;;894250.660558673;6709674.82263842;0;01010000206A08000010BF3452554A2B419D1BA6B46A985941
11;AD700BB0004948;ADRNIVX_0000000278282138;Rue de la Gendarmerie;0140;35;;70026;70100;;;894309.51218262;6709656.18045722;Arc-lès-Gray;;2018700026000AB0770;894309.726190467;6709642.00884528;;1;0;1;0;;;;31;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1923;;894303.278690638;6709643.6466248;0;01010000206A0800000C8AB08EBE4A2B41FE4C62E962985941
12;AD700BB0004949;ADRNIVX_0000000278282137;Rue de la Gendarmerie;0140;33;;70026;70100;;;894332.963450796;6709646.72120649;Arc-lès-Gray;;2018700026000AB0768;894320.948480368;6709629.09677536;;1;0;1;0;;;;15;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1987;;894328.623550014;6709641.44272399;0;01010000206A08000087F2413FF14A2B41FD96555C62985941
13;AD700BB0004950;ADRNIVX_0000000278282173;Rue du Repos;0320;12;;70026;70100;;;894313.522845782;6709604.96090002;Arc-lès-Gray;;2018700026000AB0327;894329.921659092;6709622.64121711;;1;0;1;0;;;;38;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1933;;894322.562822771;6709612.79201339;0;01010000206A080000694E2A20E54A2B41EB58B0325B985941
14;AD700BB0004951;ADRNIVX_0000000311269585;Rue du Repos;0320;10;;70026;70100;;;894327.498075378;6709592.52439281;Arc-lès-Gray;;2018700026000AB0804;894345.232159814;6709612.83504112;;2;0;2;0;;;;22;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;2;E;;1879;;894328.07257481;6709602.50714292;0;01010000206A08000084862825F04A2B41900775A058985941
15;AD700BB0004952;ADRNIVX_0000000311269580;Rue de la Gendarmerie;0140;31;;70026;70100;;;894372.804194632;6709631.68462091;Arc-lès-Gray;;2018700026000AB0806;894359.515454194;6709605.34962401;;1;0;1;0;;;;39;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1880;;894357.274260612;6709604.34372693;0;01010000206A08000011E36B8C2A4B2B413B9FFF1559985941
16;AD700BB0004955;ADRNIVX_0000000278282133;Rue de la Gendarmerie;0140;25;;70026;70100;;;894420.724192905;6709616.24557304;Arc-lès-Gray;;2018700026000AB0317;894417.698233956;6709607.07959171;;1;0;1;0;;;;14;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1170;;894414.57568181;6709607.28226135;0;01010000206A08000025C4BF269D4B2B41E89110D259985941
17;AD700BB0004956;ADRNIVX_0000000278282131;Rue de la Gendarmerie;0140;21;;70026;70100;;;894453.477850802;6709605.86832754;Arc-lès-Gray;;2018700026000AB0314;894429.69215306;6709567.51843406;;1;0;1;0;;;;9;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1375;;894451.491020466;6709600.6705589;0;01010000206A080000D70867FBE64B2B41E46FEA2A58985941
18;AD700BB0004957;ADRNIVX_0000000278282130;Rue de la Gendarmerie;0140;19;;70026;70100;;;894439.463171221;6709573.39922457;Arc-lès-Gray;;2018700026000AB0313;894433.179409053;6709564.41457451;;1;0;1;0;;;;27;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1609;;894450.021753256;6709590.75300523;0;01010000206A080000253E230BE44B2B41DE3C31B055985941
19;AD700BB0004959;ADRNIVX_0000000278282128;Rue de la Gendarmerie;0140;15;;70026;70100;;;894478.510896462;6709596.46136804;Arc-lès-Gray;;2018700026000AB0309;894470.750362406;6709583.67708508;;1;0;1;0;;;;14;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1895;;894471.326127804;6709587.26349561;0;01010000206A0800003739FAA60E4C2B41B11CDDD054985941
20;AD700BB0004966;ADRNIVX_0000000278282178;Rue du Repos;0320;23;;70026;70100;;;894368.525027276;6709552.74041463;Arc-lès-Gray;;2018700026000AB0423;894336.647769523;6709512.60747596;;1;0;1;0;;;;29;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1977;;894356.90694381;6709534.00255924;0;01010000206A08000066F05AD0294B2B413CEE298047985941
21;AD700BB0004967;ADRNIVX_0000000278282179;Rue du Repos;0320;23;BIS;70026;70100;;;894348.23693749;6709569.19413212;Arc-lès-Gray;;2018700026000AB0607;894325.39175799;6709536.66395597;;1;0;1;0;;;;42;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1600;;894332.296718039;6709544.10377131;0;01010000206A080000456DEB97F84A2B416D30A4064A985941
22;AD700BB0004968;ADRNIVX_0000000278282180;Rue du Repos;0320;25;;70026;70100;;;894342.494018662;6709574.23040654;Arc-lès-Gray;;2018700026000AB0386;894328.587925504;6709556.40734858;;1;0;1;0;;;;17;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1355;;894333.031351644;6709564.48985385;0;01010000206A0800009E520D10FA4A2B41F9C3591F4F985941
23;AD700BB0004969;ADRNIVX_0000000278282181;Rue du Repos;0320;27;;70026;70100;;;894318.4691107;6709592.00701848;Arc-lès-Gray;;2018700026000AB0743;894306.640434553;6709578.33507652;;1;0;1;0;;;;27;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2468;;894304.564299447;6709583.03935238;0;01010000206A0800006ADBEB20C14A2B41D9BF84C253985941
24;AD700BB0004970;ADRNIVX_0000000278282140;Rue Georges Brassens;0165;3;;70026;70100;;;894244.514468767;6709534.4609721;Arc-lès-Gray;;2018700026000AB0765;894261.229988562;6709527.39628241;;1;0;1;0;;;;31;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2481;;894258.374211527;6709529.41109921;0;01010000206A08000039A798BF644A2B4110734F5A46985941
25;AD700BB0004971;ADRNIVX_0000000278282142;Rue Georges Brassens;0165;5;;70026;70100;;;894242.780114308;6709502.17126723;Arc-lès-Gray;;2018700026000AB0766;894242.32524041;6709506.54912868;;1;0;1;0;;;;18;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2395;;894233.947644157;6709505.90282385;0;01010000206A0800006F9D31E5334A2B41ACDDC77940985941
26;AD700BB0004975;ADRNIVX_0000000278282139;Rue Georges Brassens;0165;1;;70026;70100;;;894272.010267004;6709565.03590189;Arc-lès-Gray;;2018700026000AB0767;894282.679541229;6709551.50579394;;1;0;1;0;;;;26;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2470;;894280.229561278;6709554.75595859;0;01010000206A0800004E0E8975904A2B411FA061B04C985941
27;AD700BB0004976;ADRNIVX_0000000278282144;Rue Georges Brassens;0165;7;;70026;70100;;;894210.501365947;6709498.00474296;Arc-lès-Gray;;2018700026000AC0256;894229.321889508;6709481.44147753;;1;0;1;0;;;;21;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2332;;894220.907897667;6709480.92528127;0;01010000206A08000084F6D7D0194A2B41F3CE373B3A985941
28;AD700BB0004977;ADRNIVX_0000000278282152;Rue Georges Brassens;0165;15;;70026;70100;;;894140.79593735;6709414.14556204;Arc-lès-Gray;;2018700026000AC0264;894156.131515435;6709399.9885985;;1;0;1;0;;;;16;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2333;;894148.179170762;6709402.13582713;0;01010000206A0800002445BC5B88492B414364B18826985941
29;AD700BB0004978;ADRNIVX_0000000278282154;Rue Georges Brassens;0165;17;;70026;70100;;;894125.389682982;6709396.52573376;Arc-lès-Gray;;2018700026000AC0265;894138.840492473;6709383.29946361;;1;0;1;0;;;;24;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2334;;894133.119181857;6709382.48437819;0;01010000206A0800008667053D6A492B41620D009F21985941
30;AD700BB0004979;ADRNIVX_0000000278282153;Rue Georges Brassens;0165;16;;70026;70100;;;894119.922647032;6709402.34926336;Arc-lès-Gray;;2018700026000AC0266;894103.50492967;6709415.34129716;;1;0;1;0;;;;38;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2344;;894096.387501602;6709414.07362321;0;01010000206A0800002B9C66C620492B41203EB68429985941
31;AD700BB0004980;ADRNIVX_0000000278282151;Rue Georges Brassens;0165;14;;70026;70100;;;894137.508271279;6709422.48549514;Arc-lès-Gray;;2018700026000AC0263;894124.509214471;6709436.92359043;;1;0;1;0;;;;55;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2346;;894116.406267341;6709437.94921538;0;01010000206A080000E14502D048492B41D9F1BF7C2F985941
32;AD700BB0004981;ADRNIVX_0000000278282149;Rue Georges Brassens;0165;12;;70026;70100;;;894154.203801743;6709444.48224302;Arc-lès-Gray;;2018700026000AC0261;894142.256943355;6709457.8624545;;1;0;1;0;;;;36;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2396;;894136.057716278;6709457.41700591;0;01010000206A080000EAFC8C1D70492B418F39B05A34985941
33;AD700BB0004982;ADRNIVX_0000000278282147;Rue Georges Brassens;0165;10;;70026;70100;;;894170.773977926;6709465.69691171;Arc-lès-Gray;;2018700026000AC0259;894161.37782991;6709479.76895389;;1;0;1;0;;;;46;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2345;;894161.586234055;6709477.61943005;0;01010000206A080000BADE262CA3492B41F1BDA46739985941
34;AD700BB0004983;ADRNIVX_0000000278282145;Rue Georges Brassens;0165;8;;70026;70100;;;894194.370920404;6709491.03130903;Arc-lès-Gray;;2018700026000AC0257;894182.067658456;6709501.66009897;;1;0;1;0;;;;33;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2328;;894178.850123775;6709501.67868062;0;01010000206A080000646C43B3C5492B41D4806F6B3F985941
35;AD700BB0004986;ADRNIVX_0000000278282084;Place Accarier;0005;2;;70026;70100;;;894464.319775144;6709636.23303115;Arc-lès-Gray;;2018700026000AB0337;894469.143406787;6709630.88619532;;1;0;1;0;;;;18;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1979;;894469.765031393;6709634.46370474;0;01010000206A080000DE31B2870B4C2B41A456AD9D60985941
36;AD700BB0004987;ADRNIVX_0000000278282122;Rue de la Gendarmerie;0140;10;;70026;70100;;;894472.722396442;6709607.49805468;Arc-lès-Gray;;2018700026000AB0338;894472.78147643;6709614.4730441;;1;0;1;0;;;;19;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1713;;894471.050640202;6709613.8939638;0;01010000206A0800003A83ED190E4C2B41EDB336795B985941
37;AD700BB0004988;ADRNIVX_0000000278282172;Rue du Repos;0320;11;;70026;70100;;;894455.313609184;6709482.88688518;Arc-lès-Gray;;2018700026000AB0409;894442.613683235;6709464.72770253;;5;0;5;0;;;;9;f;;1;;;;I;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;5;E;;1994;;894453.694921282;6709477.61943005;0;01010000206A080000E3B8CC63EB4B2B41EFBDA46739985941
38;AD700BB0004989;ADRNIVX_0000000278282166;Rue du Repos;0320;6;;70026;70100;;;894471.761625529;6709475.53325717;Arc-lès-Gray;;2018700026000AB0288;894475.645776994;6709480.85344573;;1;0;1;0;;;;12;f;;9;;;;P;;;;;;;;;;Aero-souterrain ENEDIS;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1885;;894478.213317852;6709481.65991488;0;01010000206A08000059FF376D1C4C2B419D0B3C6A3A985941
39;AD700BB0004990;ADRNIVX_0000000278282177;Rue du Repos;0320;19;;70026;70100;;;894392.297143569;6709531.17668328;Arc-lès-Gray;;2018700026000AB0614;894376.990545358;6709508.92894561;;1;0;1;0;;;;36;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1615;;894378.945951963;6709516.27952352;0;01010000206A080000D1D053E4554B2B419BB6E31143985941
40;AD700BB0004991;ADRNIVX_0000000278282087;Place Accarier;0005;4;;70026;70100;;;894462.504140499;6709647.95540564;Arc-lès-Gray;;2018700026000AB0352;894469.1628243;6709663.73886085;;1;0;1;0;;;;16;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2495;;894467.744788979;6709653.19686167;0;01010000206A0800002AFB547D074C2B41B061994C65985941
41;AD700BB0004992;ADRNIVX_0000000278282201;Rue Roger Salengro;0340;13;;70026;70100;;;894409.801813429;6709696.69348285;Arc-lès-Gray;;2018700026000AB0573;894416.9183154;6709685.93813721;;1;0;1;0;;;;65;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2494;;894417.142058009;6709681.77888222;0;01010000206A080000CBD3BB48A24B2B41D034D9716C985941
42;AD700BB0004993;ADRNIVX_0000000278281263;Rue Roger Salengro;0340;17;;70026;70100;;;894413.185653462;6709708.47472934;Arc-lès-Gray;;2018700026000AB0592;894403.270663281;6709718.41894495;;1;0;1;0;;;;41;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2504;;894402.572783158;6709714.17920987;0;01010000206A08000084D54325854B2B41B12C788B74985941
43;AD700BB0004994;ADRNIVX_0000000278282202;Rue Roger Salengro;0340;15;;70026;70100;;;894394.006937778;6709686.39599083;Arc-lès-Gray;;2018700026000AB0595;894368.949467928;6709701.1996209;;1;0;1;0;;;;84;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;C;;;;894370.498633299;6709701.45827586;0;01010000206A08000023DD4CFF444B2B414664545D71985941
44;AD700BB0004995;ADRNIVX_0000000278281264;Rue Roger Salengro;0340;19;;70026;70100;;;894388.02673528;6709756.33526166;Arc-lès-Gray;;2018700026000AB0591;894382.622445947;6709733.06250206;;1;0;1;0;;;;47;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1456;;894375.262993481;6709733.7499833;0;01010000206A080000DC14A7864E4B2B41F9B9FF6F79985941
45;AD700BB0004996;ADRNIVX_0000000278282209;Rue Roger Salengro;0340;26;;70026;70100;;;894466.504058376;6709696.21358878;Arc-lès-Gray;;2018700026000AB0059;894476.847392798;6709705.6021436;;1;0;1;0;;;;15;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1688;;894479.204984208;6709708.96047087;0;01010000206A080000AEB0F3681E4C2B41D05A783D73985941
46;AD700BB0004997;ADRNIVX_0000000278281269;Rue Roger Salengro;0340;28;;70026;70100;;;894482.025226261;6709726.39793936;Arc-lès-Gray;;2018700026000AB0054;894498.002944401;6709745.21174876;;1;0;1;0;;;;48;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2740;;894487.576880951;6709731.03183501;0;01010000206A080000A5F05C272F4C2B41B59509C278985941
47;AD700BB0004999;ADRNIVX_0000000278281276;Rue Roger Salengro;0340;34;;70026;70100;;;894462.864194951;6709740.66516089;Arc-lès-Gray;;2018700026000AB0052;894472.171824217;6709723.94023888;;1;0;1;0;;;;28;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2739;;894472.898880168;6709721.89885675;0;01010000206A0800007C053ACC114C2B4171DE867976985941
48;AD700BB0005001;ADRNIVX_0000000278281274;Rue Roger Salengro;0340;32;;70026;70100;;;894460.732675016;6709718.25456564;Arc-lès-Gray;;2018700026000AB0050;894464.297707925;6709715.96463368;;1;0;1;0;;;;18;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1163;;894465.591558204;6709714.67333339;0;01010000206A08000086B7E02E034C2B41F0E417AB74985941
49;AD700BB0005002;ADRNIVX_0000000278281278;Rue Roger Salengro;0340;38;;70026;70100;;;894460.80587076;6709732.15054331;Arc-lès-Gray;;2018700026000AB0040;894460.458813787;6709733.45160362;;1;0;1;0;;;;32;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2736;;894459.253775737;6709734.55183705;0;01010000206A080000B5E4EE81F64B2B41564C51A379985941
50;AD700BB0005003;ADRNIVX_0000000278281279;Rue Roger Salengro;0340;40;;70026;70100;;;894458.232287063;6709720.95150752;Arc-lès-Gray;;2018700026000AB0038;894455.361353704;6709725.37379142;;1;0;1;0;;;;17;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2734;;894454.252382878;6709725.69067361;0;01010000206A0800001B543881EC4B2B4118FF336C77985941
51;AD700BB0005004;ADRNIVX_0000000278281281;Rue Roger Salengro;0340;42;;70026;70100;;;894445.97745574;6709717.66086518;Arc-lès-Gray;;2018700026000AB0037;894448.797695785;6709720.17508999;;1;0;1;0;;;;16;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2733;;894447.565738077;6709722.42889566;0;01010000206A080000D26BA821DF4B2B41C806739B76985941
52;AD700BB0005005;ADRNIVX_0000000278281282;Rue Roger Salengro;0340;44;;70026;70100;;;894440.0186302;6709724.69066195;Arc-lès-Gray;;2018700026000AB0036;894445.735595525;6709727.80451154;;1;0;1;0;;;;7;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1255;;894441.313997003;6709730.74642944;0;01010000206A0800001237C4A0D24B2B41FA7FC5AF78985941
53;AD700BB0005006;ADRNIVX_0000000278281288;Rue Roger Salengro;0340;50;;70026;70100;;;894455.331148094;6709756.64650044;Arc-lès-Gray;;2018700026000AB0034;894459.494897614;6709751.3522856;;1;0;1;0;;;;30;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1146;;894454.524197707;6709748.08821555;0;01010000206A08000050A4630CED4B2B41D352A5057D985941
54;AD700BB0005007;ADRNIVX_0000000278281208;Rue de la Nitrière;0235;11;;70026;70100;;;894502.19718372;6710072.95277351;Arc-lès-Gray;;2018700026000ZI0049;894509.193949722;6710074.81642466;;2;0;2;0;;;;34;f;;1;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01B;2;E;;1390;;894498.993103781;6710074.75527741;0;01010000206A0800004D1978FC454C2B410E7756B0CE985941
55;AD700BB0005008;ADRNIVX_0000000278281207;Rue de la Nitrière;0235;9;BIS;70026;70100;;;894546.794788367;6710055.29429736;Arc-lès-Gray;;2018700026000ZI0017;894496.652538121;6710026.31189177;;1;0;1;0;;;;28;f;;9;;;;P;;;;;;;;;;Aero-souterrain ENEDIS;;;;2018-06-09 00:00:00;;;;;N070GAY_S01B;1;E;;1659;;894530.088720254;6710050.34630574;0;01010000206A080000BFBD6C2D844C2B418BDF2996C8985941
56;AD700BB0005009;ADRNIVX_0000000278281228;Rue Jean Moulin;0203;4;;70026;70100;;;894498.01822062;6710000.23586996;Arc-lès-Gray;;2018700026000ZI0062;894528.780657592;6710015.51753804;;1;0;1;0;;;;34;f;;1;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01B;1;E;;1421;;894516.411832677;6710013.59556218;0;01010000206A08000091BBDBD2684C2B41D4B01D66BF985941
57;AD700BB0005010;ADRNIVX_0000000278281197;Rue Louis Ravillon;0225;2;;70026;70100;;;894577.372612043;6709963.93020724;Arc-lès-Gray;;2018700026000ZI0054;894569.936587204;6709982.64549359;;1;0;1;0;;;;9;f;;9;;;;P;;;;;;;;;;Aero-souterrain ENEDIS;;;;2018-06-09 00:00:00;;;;;N070GAY_S01B;1;E;;1415;;894574.546150117;6709984.64420887;0;01010000206A080000F7FCA017DD4C2B41D9B73A29B8985941
58;AD700BB0005011;ADRNIVX_0000000278281198;Rue Louis Ravillon;0225;4;;70026;70100;;;894561.282195761;6709951.17728115;Arc-lès-Gray;;2018700026000ZI0055;894550.97452362;6709970.74581268;;1;0;1;0;;;;22;f;;1;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01B;1;E;;1417;;894551.848289125;6709974.68494333;0;01010000206A080000C0F352B2AF4C2B41911CD6ABB5985941
59;AD700BB0005012;ADRNIVX_0000000278281229;Rue Jean Moulin;0203;7;;70026;70100;;;894493.826326185;6709992.42947389;Arc-lès-Gray;;2018700026000ZI0061;894473.122898937;6709985.24447249;;1;0;1;0;;;;23;f;;9;;;;P;;;;;;;;;;Aero-souterrain ENEDIS;;;;2018-06-09 00:00:00;;;;;N070GAY_S01B;1;E;;1422;;894479.006684205;6709995.4141123;0;01010000206A080000B41C6C031E4C2B41E4D080DABA985941
60;AD700BB0005013;ADRNIVX_0000000278281196;Rue Jean Moulin;0203;5;;70026;70100;;;894503.79247678;6709971.19262506;Arc-lès-Gray;;2018700026000ZI0060;894482.538325833;6709962.34892772;;1;0;1;0;;;;17;f;;1;;;;P;;;;;;;;;;;;;;2018-06-09 00:00:00;;;;;N070GAY_S01B;1;E;;2507;;894488.386922676;6709971.32658635;0;01010000206A080000A2BA1AC6304C2B4171CAE6D4B4985941
61;AD700BB0005014;ADRNIVX_0000000278281195;Rue Jean Moulin;0203;3;;70026;70100;;;894513.726002593;6709950.95506459;Arc-lès-Gray;;2018700026000ZI0059;894491.381797948;6709941.62269317;;1;0;1;0;;;;21;f;;9;;;;P;;;;;;;;;;Aero-souterrain ENEDIS;;;;2018-06-09 00:00:00;;;;;N070GAY_S01B;1;E;;1423;;894498.114577387;6709948.04969829;0;01010000206A08000027E3A93A444C2B41C0412E03AF985941
