gid;ad_code;ad_ban_id;ad_nomvoie;ad_fantoir;ad_numero;ad_rep;ad_insee;ad_postal;ad_alias;ad_nom_ld;ad_x_ban;ad_y_ban;ad_commune;ad_section;ad_idpar;ad_x_parc;ad_y_parc;ad_nat;ad_nblhab;ad_nblpro;ad_nbprhab;ad_nbprpro;ad_rivoli;ad_hexacle;ad_hexaclv;ad_distinf;ad_isole;ad_prio;ad_racc;ad_batcode;ad_nombat;ad_ietat;ad_itypeim;ad_imneuf;ad_idatimn;ad_prop;ad_gest;ad_idatsgn;ad_iaccgst;ad_idatcab;ad_idatcom;ad_typzone;ad_comment;ad_geolqlt;ad_geolmod;ad_geolsrc;ad_creadat;ad_majdate;ad_majsrc;ad_abddate;ad_abdsrc;nom_sro;nb_prises_totale;statut;cas_particuliers;nom_id;nom_pro;x;y;potentiel_ftte;geom
248;AD700BB0006430;;QUAI VILLENEUVE;;8;;70279;70100;;;;;Gray;;2018700279000AE0488;894934.307281375;6708792.9844922;;2;0;2;0;;;;7;f;;2;;;;P;;;;;;;;;;;;;;2018-06-15 00:00:00;;;;;N070GAY_S01B;2;E;Adresse BAN inexistante mais locaux présents;19534;;894937.413367147;6708797.21833902;0;01010000206A080000CFDBA4D3B24F2B413944F94D8F975941
249;AD700BB0006431;;;0650;8;B;70279;70100;;;;;Gray;;2018700279000AE0203;894914.55325804;6708774.93815468;;1;0;1;0;;;;19;f;;7;;;;P;;;;;;;;;;;;;;2018-06-15 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;17932;;894910.374131907;6708775.89606563;0;01010000206A080000A5378EBF7C4F2B41A42359F989975941
250;AD700BB0006432;;;;114;B;70026;70100;;;;;Arc-lès-Gray;;2018700026000AL0109;893787.294501662;6708980.27756585;;1;0;1;0;;;;29;f;;2;;;;P;;;;;;;;;;;;;;2018-06-14 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;1797;;893789.412179859;6708976.51091385;0;01010000206A080000113D09D3BA462B4103D0B220BC975941
251;AD700BB0006434;;;;60;B;70026;70100;;;;;Arc-lès-Gray;;2018700026000AO0067;894498.348513027;6710533.46984091;;1;0;1;0;;;;16;f;;0;;;;P;;;;;;;;;;;;;;2018-06-14 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;2264;;894487.428963874;6710533.05629814;0;01010000206A0800002127A1DB2E4C2B4185639A4341995941
252;AD700BB0006436;;Rue de la Gare;0071;11;;70546;70180;;;;;Vereux;;;;;;1;0;1;0;;;;39;f;;1;;;;P;;;;;;;;;;;;;;2018-06-15 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;57067;;899535.527422385;6716521.03169646;0;01010000206A080000904E0A0E9F732B419B5007421A9F5941
253;AD700BB0006437;;Rue de la Gare;0071;13;;70546;70180;;;;;Vereux;;;;;;1;0;1;0;;;;57;f;;1;;;;P;;;;;;;;;;;;;;2018-06-15 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;56948;;899516.097984463;6716517.52802733;0;01010000206A08000001052B3278732B412533CB61199F5941
254;AD700BB0006443;;;;8;;70279;70100;;;;;Gray;;2018700279000AE0535;894906.49473373;6708784.89850585;;1;0;1;0;;;;48;f;;7;;;;P;;;;;;;;;;;;;;2018-06-15 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;19339;;894905.213909079;6708784.88698527;0;01010000206A080000A37D856D724F2B41DE5DC4388C975941
255;AD700BB0006444;;;;8;;70279;70100;;;;;Gray;;2018700279000AE0453;894915.5324674;6708783.56023583;;1;0;1;0;;;;26;f;;7;;;;P;;;;;;;;;;;;;;2018-06-15 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;19551;;894914.653543754;6708783.95631706;0;01010000206A08000070499D4E854F2B417C4C34FD8B975941
256;AD700BB0006447;;RUE VERGY;;2;;70279;70100;;;;;Gray;;2018700279000AH0108;895297.482221703;6708848.06216303;;1;0;1;0;;;;90;f;;7;;;;P;;;;;;;;;;;;;;2018-06-18 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;19547;;895292.49408819;6708853.02190036;0;01010000206A0800009220F9FC78522B41C3D066419D975941
257;AD700BB0006448;;;;11;;70026;70100;;;;;Arc-lès-Gray;;2018700026000AW0241;895194.77459968;6708979.52559075;;1;0;1;0;;;;108;f;;7;;;;P;;;;;;;;;;;;;;2018-06-18 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;1303;;895187.877269549;6708977.27230251;0;01010000206A0800006C7929C1A7512B4187676D51BC975941
258;AD700BB0006449;;QUAI VILLENEUVE;;2;B;70279;70100;;;;;Gray;;2018700279000AE0537;895065.612583456;6708791.33091017;;2;0;2;0;;;;60;f;;7;;;;P;;;;;;;;;;;;;;2018-06-18 00:00:00;;;;;N070GAY_S01B;2;E;Adresse BAN inexistante mais locaux présents;19277;;895074.780255267;6708794.76987315;0;01010000206A0800004D9E7D8FC5502B410C9A45B18E975941
259;AD700BB0006450;;QUAI VILLENEUVE;;2;;70279;70100;;;;;Gray;;2018700279000AE0537;895065.612583456;6708791.33091017;;1;0;1;0;;;;52;f;;7;;;;P;;;;;;;;;;;;;;2018-06-18 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;19573;;895058.783554949;6708799.46927962;0;01010000206A080000401D2E91A5502B4167AD08DE8F975941
260;AD700BB0006451;;QUAI VILLENEUVE;;2;;70279;70100;;;;;Gray;;2018700279000AE0537;895065.612583456;6708791.33091017;;5;0;5;0;;;;17;f;;2;;;;I;;;;;;;;;;;;;;2018-06-18 00:00:00;;;;;N070GAY_S01B;5;E;Adresse BAN inexistante mais locaux présents;19205;;895060.95756865;6708785.2045979;0;01010000206A080000287046EAA9502B41CC21184D8C975941
261;AD700BB0006452;;QUAI VILLENEUVE;;1;;70279;70100;;;;;Gray;;2018700279000AE0405;895082.673669165;6708827.45772094;;1;0;1;0;;;;47;f;;2;;;;P;;;;;;;;;;;;;;2018-06-18 00:00:00;;;;;N070GAY_S01B;1;E;Adresse BAN inexistante mais locaux présents;19270;;895082.721035136;6708816.92915088;0;01010000206A08000070842B71D5502B414535773B94975941
262;AD700BC0004869;ADRNIVX_0000000278280044;Avenue Jean Jaurès;0200;60;TER;70026;70100;;;894461.896805725;6710560.68993596;Arc-lès-Gray;;2018700026000AO0062;894490.757034466;6710567.28753929;;1;0;1;0;;;;19;f;;0;;;;P;;;;;;;;;;;;;;2018-06-14 00:00:00;;;;;N070GAY_S01C;1;E;;2275;;894478.917263376;6710567.73359646;0;01010000206A080000968BA3D51D4C2B41963EF3EE49995941
263;AD700BC0004873;ADRNIVX_0000000278281265;Rue Roger Salengro;0340;21;;70026;70100;;;894361.962999457;6709762.70787722;Arc-lès-Gray;;2018700026000AB0482;894358.925350039;6709743.87825928;;1;0;1;0;;;;35;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;1164;;894358.627925927;6709751.03740645;0;01010000206A080000D1817F412D4B2B4104DE64C27D985941
264;AD700BC0004879;ADRNIVX_0000000278281831;Rue de Verdun;0380;20;;70026;70100;;;895351.012386036;6709529.25212672;Arc-lès-Gray;;2018700026000AR0081;895364.81420502;6709519.56384339;;1;0;1;0;;;;17;f;;7;;;;P;;;;;;;;;;;;;;2018-06-13 00:00:00;;;;;N070GAY_S01C;1;E;;2007;;895363.433183703;6709520.53975069;0;01010000206A0800001D41CADD06532B417B468B2244985941
265;AD700BC0004890;ADRNIVX_0000000278282056;Rue de la Poste;0280;10;;70026;70100;;;894628.273019461;6709532.67168798;Arc-lès-Gray;;2018700026000AB0119;894659.036728302;6709560.75502481;;1;0;1;0;;;;32;f;;7;;;;P;;;;;;;;;;;;;;2018-06-18 00:00:00;;;;;N070GAY_S01C;1;E;;2572;;894647.718516162;6709551.61975888;0;01010000206A080000B459E16F6F4D2B412121AAE74B985941
266;AD700BC0004919;ADRNIVX_0000000278282156;Rue des Varennes;0191;2;;70026;70100;;;894185.472223242;6709685.02816661;Arc-lès-Gray;;2018700026000AM0158;894188.47842468;6709699.85494197;;1;0;1;0;;;;15;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;1439;;894191.68325456;6709701.3842347;0;01010000206A080000AE8AD35DDF492B41284D975871985941
267;AD700BC0004920;ADRNIVX_0000000278282159;Rue des Varennes;0191;4;;70026;70100;;;894176.971342422;6709682.19413101;Arc-lès-Gray;;2018700026000AM0142;894171.103138234;6709694.23158903;;1;0;1;0;;;;28;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;1596;;894170.929855215;6709692.38497304;0;01010000206A08000099FB15DCB5492B41F865A3186F985941
268;AD700BC0004921;ADRNIVX_0000000278281221;Chemin d'Autrey;0025;5;;70026;70100;;;894178.929787229;6709739.94415784;Arc-lès-Gray;;2018700026000AM0066;894164.063657815;6709733.32264154;;1;0;1;0;;;;53;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;2164;;894166.522053585;6709727.64738609;0;01010000206A080000829B4A0BAD492B410EC66EE977985941
