id;id_opp;prev_starr;lg_prev_st;gc_typ_mut;lg_typ_mut;gc_typ_int;lg_typ_int;longueur;com_dep
1;OPP_1-8_LT_26301_WDHB_001;GC a creer;;Superieur;265;;;265;SAINT-DONAT-SUR-L HERBASSE
2;OPP_1-8_LT_26301_WDHB_001;GC a creer;;;;Chaussee lourde;17;17;SAINT-DONAT-SUR-L HERBASSE
3;OPP_3-XX_LT_07291_WRMZ_001;GC a creer;;;;;;13134;SAINT-REMEZE
4;OPP_4-22_LT_26173_MCHE_001;Conduite FT;;;;;;2321;ALIXAN
5;OPP_4-22_LT_26173_MCHE_001;GC a creer;;;;;;1575;CHARPEY
6;OPP_4-22_LT_26173_MCHE_001;GC a creer;;;;;;2229;SAINT-VINCENT-LA-COMMANDERIE
7;OPP_4-XX_LT_26381_JLAN_001;Conduite FT;;;;;;3634;JAILLANS
