"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0711029";"70444";"LA RESIE-SAINT-MARTIN";"002T";"RUE ETANG";"MGY";"A00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"847121.5932988682";"2262263.259466693"
"0711028";"70444";"LA RESIE-SAINT-MARTIN";"004T";"RUE CORVEE DE CITEY";"MGY";"A00";"X0";"";"MH8";;;;;;"Lambert II Etendu";"847179.7171437116";"2262103.0456048027"
"0711030";"70444";"LA RESIE-SAINT-MARTIN";"005T";"RUE EGLISE";"MGY";"A00";"X0";"";"MS8";;;;;;"Lambert II Etendu";"847162.8352282657";"2262054.1278949147"
