"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0726635";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"912268.7405571382";"2293260.2090575206"
"0726629";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BH7";"PRT";"TRM";;;;"Lambert II Etendu";"912022.4317415564";"2293156.085664884"
"0726636";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BM7";;;;;;"Lambert II Etendu";"912276.0364206862";"2293305.128786816"
"0726622";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BM7";"TCR";;;;;"Lambert II Etendu";"912044.1674712978";"2292887.2466876335"
"0726623";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BM7";"TCR";;;;;"Lambert II Etendu";"912056.3602077739";"2292932.239048719"
"0726634";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BM7";;;;;;"Lambert II Etendu";"912232.0407287282";"2293239.3423068738"
"0726637";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";"TCR";;;;;"Lambert II Etendu";"912279.6707298597";"2293338.535903408"
"0726638";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS8";"TCR";;;;;"Lambert II Etendu";"912292.034567648";"2293382.6102256863"
"0726640";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";"PRT";;;;;"Lambert II Etendu";"912350.9159016464";"2293444.7309102425"
"0726645";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"912419.1054143142";"2293689.378034668"
"0726621";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";"TCR";;;;;"Lambert II Etendu";"912034.4776972057";"2292844.7988159587"
"0726625";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"912045.1354705631";"2293009.2094360148"
"0726626";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"912034.8344364729";"2293049.6736959238"
"0726627";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"912030.8091324639";"2293085.459363358"
"0726630";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"912057.3402902442";"2293177.5986585757"
"0726631";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"912101.9252451971";"2293194.241874404"
"0726632";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"912143.9269084074";"2293212.233413729"
"0726633";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"912190.7322737544";"2293222.500100084"
"0726624";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS8";"TCR";;;;;"Lambert II Etendu";"912053.0844298783";"2292970.4765388817"
"0721161";"70072";"BEVEUGE";"003T";"RUE SAINT FERJEUX";"VSX";"A00";"X0";"";"BS8";"TRN";;;;;"Lambert II Etendu";"912315.5496528423";"2292564.7982203914"
"0726639";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS8";"TCR";;;;;"Lambert II Etendu";"912312.2665563233";"2293418.0081709363"
"0726641";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"912392.6292823176";"2293470.5025979434"
"0726642";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"912418.8228733535";"2293495.2682441366"
"0726643";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS8";"TRN";;;;;"Lambert II Etendu";"912423.9126494454";"2293607.986240837"
"0726644";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"912418.2785556831";"2293640.903357272"
"0726618";"70072";"BEVEUGE";"006T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"911923.4933989625";"2292539.4482206637"
"0726619";"70072";"BEVEUGE";"004T";"RUE BOURG";"VSX";"A00";"X0";"";"BS8";"PRT";"TRN";;;;"Lambert II Etendu";"911949.3814952162";"2292555.845161603"
"0726620";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"912011.035941796";"2292805.892538991"
"0726628";"70072";"BEVEUGE";"005T";"RUE REMONDANS";"VSX";"A00";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"912022.4926219916";"2293126.399578546"
"0726616";"70072";"BEVEUGE";"006T";"GRANDE. RUE";"VSX";"A00";"X0";"15";"MI8";"PRT";"TRN";;;;"Lambert II Etendu";"911681.8795856832";"2292293.2668189723"
