"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0711048";"70327";"MALANS";"011T";"CHE GRANDES VIGNES";"PSM";"D00";"X0";"3";"BS6";;;;;;"Lambert II Etendu";"846486.583363688";"2256881.164762609"
"0711045";"70327";"MALANS";"016T";"CHE CROIX BLANCHE";"PSM";"D00";"X0";"1";"BS7";;;;;;"Lambert II Etendu";"846627.598653669";"2256804.6791761946"
"0711047";"70327";"MALANS";"011T";"CHE GRANDES VIGNES";"PSM";"D00";"X0";"3";"BS7";;;;;;"Lambert II Etendu";"846501.7883647758";"2256901.0809544963"
"0711049";"70327";"MALANS";"011T";"CHE GRANDES VIGNES";"PSM";"D00";"X0";"3";"BS6";;;;;;"Lambert II Etendu";"846469.9428783485";"2256859.334703429"
"0711055";"70327";"MALANS";"006T";"RUE CHATEAUX";"PSM";"D00";"X0";"";"BS7";"TCR";;;;;"Lambert II Etendu";"846166.0941963536";"2256600.6665536696"
"0711051";"70327";"MALANS";"001T";"RUE CHAPELLE";"PSM";"D00";"X0";"";"BS7";"TRN";;;;;"Lambert II Etendu";"846654.8871371608";"2256676.3750490756"
"0711046";"70327";"MALANS";"011T";"CHE GRANDES VIGNES";"PSM";"D00";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"846536.9189219713";"2256884.921259132"
"0711052";"70327";"MALANS";"001T";"RUE CHAPELLE";"PSM";"D00";"X0";"";"BS7";"PCG";"TRM";;;;"Lambert II Etendu";"846645.0560799602";"2256651.6746122004"
"0711053";"70327";"MALANS";"004T";"RUE MOULIN";"PSM";"D00";"X0";"";"BS7";"PCG";"TRN";;;;"Lambert II Etendu";"846437.9127432569";"2256618.0489273593"
"0711054";"70327";"MALANS";"004T";"RUE MOULIN";"PSM";"D00";"X0";"12";"BS8";"TRN";;;;;"Lambert II Etendu";"846467.7366235188";"2256602.039651105"
"0721289";"70327";"MALANS";"015T";"CHE RANGS";"PSM";"D00";"X0";"";"BS6";"TRM";"TRN";;;;"Lambert II Etendu";"846811.9710932029";"2256656.933878538"
"0721288";"70327";"MALANS";"011T";"CHE GRANDES VIGNES";"PSM";"D00";"X0";"";"BS8";"TRM";"TRN";;;;"Lambert II Etendu";"846557.9883140235";"2256790.850448203"
"0711056";"70327";"MALANS";"015T";"CHE RANGS";"PSM";"D00";"X0";"";"BS8";"TRM";"TRN";"REC";;;"Lambert II Etendu";"846680.9967696524";"2256625.1647353843"
"0711050";"70327";"MALANS";"001T";"RUE CHAPELLE";"PSM";"D00";"X0";"";"MS7";"TRN";;;;;"Lambert II Etendu";"846651.348197439";"2256703.8586088093"
