"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0726602";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BC7";"ANC";"TDL";;;;"Lambert II Etendu";"910918.8263801932";"2291127.8579714475"
"0726603";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BH7";"PRT";;;;;"Lambert II Etendu";"910038.9947043317";"2291166.804024721"
"0726615";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BM8";;;;;;"Lambert II Etendu";"910240.8357568644";"2290928.3835071996"
"0726610";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"910197.7751387499";"2291066.5872609587"
"0726611";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"910235.9471384843";"2291050.221152907"
"0726594";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910559.2003145071";"2291205.6224982627"
"0726596";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"910694.9048430265";"2291207.5598912644"
"0726597";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910732.1506651605";"2291194.488236539"
"0726598";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910767.1524885196";"2291178.7010413744"
"0726599";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910804.8134521082";"2291164.9094393"
"0726600";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910845.1335406398";"2291153.113480882"
"0726601";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910881.8302550996";"2291140.941626992"
"0726604";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910027.5974503517";"2291156.5573338633"
"0726605";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"910019.8195162937";"2291132.398475644"
"0726606";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910059.1861004395";"2291114.795063716"
"0726609";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910156.61589862";"2291082.425722855"
"0726614";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"910240.8965090136";"2290967.909607952"
"0726607";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"910090.7328400079";"2291107.3581341174"
"0726608";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"910120.0458429472";"2291094.6086542574"
"0726612";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"910254.069275388";"2291042.45147114"
"0726613";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"910246.8012231339";"2290999.021476318"
"0726595";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"MS8";;;;;;"Lambert II Etendu";"910622.2879037515";"2291224.339142398"
"0726593";"70562";"VILLERS-LA-VILLE";"001T";"GRANDE. RUE";"VSX";"A00";"X0";"";"BC8";"ANC";"PRT";"TDL";"PMX";;"Lambert II Etendu";"910355.5998230106";"2291247.8095658887"
