"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0711033";"70092";"BRESILLEY";"005T";"RTE CHENE";"MGY";"H00";"X0";"";"BC7";"ANC";"PRT";"PMX";;;"Lambert II Etendu";"849939.0190886803";"2256466.7876253673"
"0711038";"70092";"BRESILLEY";"005T";"RTE CHENE";"MGY";"H00";"X0";"";"198";"TRM";"TRN";;;;"Lambert II Etendu";"850133.1407895223";"2256362.759997189"
"0711034";"70092";"BRESILLEY";"005T";"RTE CHENE";"MGY";"H00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"849976.1460197226";"2256448.50643676"
"0711035";"70092";"BRESILLEY";"005T";"RTE CHENE";"MGY";"H00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"850016.0378658158";"2256430.5272090645"
"0711036";"70092";"BRESILLEY";"005T";"RTE CHENE";"MGY";"H00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"850055.4867550734";"2256408.0789632206"
"0711040";"70092";"BRESILLEY";"005T";"RTE CHENE";"MGY";"H00";"X0";"";"BS7";"PCG";"PRT";;;;"Lambert II Etendu";"850343.1327128257";"2256295.7537569455"
"0711037";"70092";"BRESILLEY";"005T";"RTE CHENE";"MGY";"H00";"X0";"";"BS7";"PCP";"PRT";"TRM";"TRN";;"Lambert II Etendu";"850091.8335234846";"2256387.354883611"
"0711043";"70092";"BRESILLEY";"011T";"RTE MONTAGNEY";"MGY";"H00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"849910.2128028378";"2256617.4544864255"
"0711044";"70092";"BRESILLEY";"011T";"RTE MONTAGNEY";"MGY";"H00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"849910.1809198414";"2256648.236740484"
"0711039";"70092";"BRESILLEY";"005T";"RTE CHENE";"MGY";"H00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"850174.6225336086";"2256340.0271629095"
