"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0710909";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BC6";;;;;;"Lambert II Etendu";"855663.6161772283";"2259286.746626555"
"0710918";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BC6";;;;;;"Lambert II Etendu";"855634.489301659";"2258884.359461154"
"0710922";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BC7";"ANC";"PRT";"TDL";"PMX";;"Lambert II Etendu";"855654.863185581";"2258777.488267618"
"0710900";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"855603.4241936561";"2259629.8404663624"
"0710901";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"855603.5265657831";"2259598.13244344"
"0710902";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BC6";"TCR";;;;;"Lambert II Etendu";"855614.3221985083";"2259561.320935806"
"0710905";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"855638.3874980868";"2259421.4123543"
"0710896";"70057";"BAY";"B027";"LE VILLAGE";"MGY";"D00";"X0";"";"BC8";"TRM";;;;;"Lambert II Etendu";"855653.0628522485";"2259731.37918826"
"0710915";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BH6";"TCR";;;;;"Lambert II Etendu";"855662.1253499866";"2259025.194313185"
"0710908";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BH6";"TCR";;;;;"Lambert II Etendu";"855663.787951309";"2259320.877312557"
"0710911";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS6";"TCR";;;;;"Lambert II Etendu";"855673.8848453811";"2259203.549385843"
"0710912";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BH6";"TCR";;;;;"Lambert II Etendu";"855666.3269611225";"2259156.304625419"
"0710916";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BH6";"REC";;;;;"Lambert II Etendu";"855654.4330933208";"2258978.1292781727"
"0710897";"70057";"BAY";"B027";"LE VILLAGE";"MGY";"D00";"X0";"";"BH8";"TRM";;;;;"Lambert II Etendu";"855636.9096269116";"2259699.157060031"
"0710919";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BM7";;;;;;"Lambert II Etendu";"855631.2366227086";"2258854.36167776"
"0710920";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BM7";;;;;;"Lambert II Etendu";"855639.7484918782";"2258820.7901260364"
"0710898";"70057";"BAY";"B027";"LE VILLAGE";"MGY";"D00";"X0";"";"BM7";;;;;;"Lambert II Etendu";"855622.175578688";"2259677.937770813"
"0710910";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"855669.7484798013";"2259241.0182650653"
"0710899";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"855610.7177046658";"2259653.892243559"
"0710903";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS6";"TRM";;;;;"Lambert II Etendu";"855624.5672589655";"2259507.980460343"
"0710913";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS6";"TCR";;;;;"Lambert II Etendu";"855666.6489899119";"2259110.6971472204"
"0710914";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS6";"TCR";;;;;"Lambert II Etendu";"855667.1577163446";"2259069.548570807"
"0710917";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"855638.2877454581";"2258925.136973713"
"0710904";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS6";"TRM";;;;;"Lambert II Etendu";"855629.7682029353";"2259466.291931829"
"0710906";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS7";"TCR";;;;;"Lambert II Etendu";"855645.4685052291";"2259382.957440154"
"0710921";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"855644.8902418849";"2258803.9497427093"
"0710895";"70057";"BAY";"B027";"LE VILLAGE";"MGY";"D00";"X0";"";"BS8";"PCP";"TRN";"PMX";;;"Lambert II Etendu";"855674.2918945029";"2259751.2090250733"
"0710907";"70057";"BAY";"010T";"RTE MOROGNE";"MGY";"D00";"X0";"";"BS8";"TCR";;;;;"Lambert II Etendu";"855657.9056472201";"2259354.9329242585"
"0721447";"70057";"BAY";"003T";"FERME MAGNEY";"VLY";"G00";"X0";"";"BS8";;;;;;"Lambert II Etendu";"854422.4372509446";"2260870.1510451282"
