"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0711018";"70374";"MOTEY-BESUCHE";"005T";"GRANDE. RUE";"MGY";"ZD0";"X0";"";"BC7";"ANC";;;;;"Lambert II Etendu";"851756.9887046022";"2260477.9521567416"
"0711019";"70374";"MOTEY-BESUCHE";"005T";"GRANDE. RUE";"MGY";"ZD0";"X0";"";"BM8";;;;;;"Lambert II Etendu";"851743.4232619995";"2260449.7454352207"
"0711020";"70374";"MOTEY-BESUCHE";"005T";"GRANDE. RUE";"MGY";"ZD0";"X0";"";"BS7";"PCG";"PRT";"TRN";"PMX";;"Lambert II Etendu";"851716.9650793016";"2260422.105068063"
"0711021";"70374";"MOTEY-BESUCHE";"005T";"GRANDE. RUE";"MGY";"ZD0";"X0";"";"BS7";;;;;;"Lambert II Etendu";"851687.9003114603";"2260387.4928077213"
"0711022";"70374";"MOTEY-BESUCHE";"005T";"GRANDE. RUE";"MGY";"ZD0";"X0";"";"BS7";;;;;;"Lambert II Etendu";"851661.6925548215";"2260353.9289915557"
"0711017";"70374";"MOTEY-BESUCHE";"006T";"RUE DE SORNAY";"MGY";"ZD0";"X0";"";"BS8";"TRN";;;;;"Lambert II Etendu";"852140.5417732626";"2260750.8823646884"
