"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0903665";"70121";"CHAMPEY";"0009";"RUE VAY";"SLN";"J00";"X0";"";"BC8";"TRM";;;;;"Lambert II Etendu";"926785.545454243";"2295909.271710726"
"0200254";"70121";"CHAMPEY";"0012";"RUE MOULINS";"SLN";"J00";"X0";"";"BH8";"TRM";"TRN";;;;"Lambert II Etendu";"926665.8549670087";"2296495.219759851"
"0200255";"70121";"CHAMPEY";"0012";"RUE MOULINS";"SLN";"J00";"X0";"";"BH8";"PCG";"TRN";"TDL";;;"Lambert II Etendu";"926667.9028237583";"2296428.708212471"
"0903664";"70121";"CHAMPEY";"0009";"RUE VAY";"SLN";"J00";"X0";"";"BM8";"TRM";"TRN";;;;"Lambert II Etendu";"926802.4401995863";"2295955.6748919524"
"0900026";"70121";"CHAMPEY";"0014";"CHE FERME DE GREUZE";"SLN";"J00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"927694.5748081594";"2296046.689355734"
"0900027";"70121";"CHAMPEY";"0014";"CHE FERME DE GREUZE";"SLN";"J00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"927706.7365210105";"2296033.4453670946"
"0903652";"70121";"CHAMPEY";"0012";"RUE MOULINS";"SLN";"J00";"X0";"F20";"BS8";"TRM";"TRN";;;;"Lambert II Etendu";"926837.5432202786";"2296693.8323522042"
"0903690";"70121";"CHAMPEY";"0004";"RUE MALVOISIN";"SLN";"J00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"926601.561100912";"2295612.3654054063"
"0903697";"70121";"CHAMPEY";"0005";"GRANDE RUE";"SLN";"J00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"926244.0928449057";"2296170.697532524"
"0903710";"70121";"CHAMPEY";"0014";"CHE FERME DE GREUZE";"SLN";"J00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"927133.4275941482";"2296372.825199636"
"0903711";"70121";"CHAMPEY";"0014";"CHE FERME DE GREUZE";"SLN";"J00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"927143.9197138527";"2296328.494899966"
