"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0201089";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BC6";;;;;;"Lambert II Etendu";"878449.1399707886";"2268408.7799962186"
"0201088";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BC6";;;;;;"Lambert II Etendu";"878435.2199731241";"2268383.3200146477"
"0201054";"70109";"BUTHIERS";"016T";"GRANDE-RUE";"DEV";"B00";"X0";;"BC7";"PRT";"TDL";;;;"Lambert II Etendu";"879243.1599896441";"2267505.1800378948"
"0201117";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BC7";;;;;;"Lambert II Etendu";"879000.7499752187";"2269337.689999851"
"0201118";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BC8";"SPC";"TRN";;;;"Lambert II Etendu";"879006.099986515";"2269358.339992859"
"0201043";"70109";"BUTHIERS";"016T";"GRANDE-RUE";"DEV";"B00";"X0";;"BH7";"TCR";;;;;"Lambert II Etendu";"879470.2499716925";"2267801.479984344"
"0201051";"70109";"BUTHIERS";"016T";"GRANDE-RUE";"DEV";"B00";"X0";;"BH7";;;;;;"Lambert II Etendu";"879313.3999693544";"2267571.679995744"
"0201053";"70109";"BUTHIERS";"016T";"GRANDE-RUE";"DEV";"B00";"X0";;"BM7";;;;;;"Lambert II Etendu";"879257.0200107938";"2267519.1600205046"
"0201001";"70109";"BUTHIERS";"016T";"GRANDE-RUE";"DEV";"B00";"X0";;"BC7";"PRT";"RPC";"TDL";;;"Lambert II Etendu";"880064.8195687628";"2268411.3899791525"
"0292722";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BM8";"PRT";"TDL";;;;"Lambert II Etendu";"878231.7999811994";"2268157.2900045556"
"0201047";"70109";"BUTHIERS";"016T";"GRANDE-RUE";"DEV";"B00";"X0";;"BC7";"PRT";"RPC";"TRN";"TDL";;"Lambert II Etendu";"879409.5589098824";"2267686.969233764"
"0292723";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS0";;;;;;"Lambert II Etendu";"878264.0300291292";"2268176.980017844"
"0201090";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS6";"EPA";;;;;"Lambert II Etendu";"878449.5599738183";"2268435.0100306035"
"0201095";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS6";"EPA";;;;;"Lambert II Etendu";"878522.339997262";"2268613.520003397"
"0201097";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS6";;;;;;"Lambert II Etendu";"878561.9999906451";"2268681.5700140316"
"0201099";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS6";;;;;;"Lambert II Etendu";"878608.7800331127";"2268745.559983711"
"0201048";"70109";"BUTHIERS";"016T";"GRANDE-RUE";"DEV";"B00";"X0";"F33C";"BS6";;;;;;"Lambert II Etendu";"879385.4099777256";"2267656.6899883393"
"0201059";"70109";"BUTHIERS";"016T";"GRANDE-RUE";"DEV";"B00";"X0";"2";"BS6";"SPC";;;;;"Lambert II Etendu";"878820.7199825691";"2267392.9199852874"
"0201108";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS6";;;;;;"Lambert II Etendu";"878795.8199805955";"2269049.070038816"
"0201109";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS6";;;;;;"Lambert II Etendu";"878824.1999708237";"2269074.8900014004"
"0201091";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS7";"HAU";;;;;"Lambert II Etendu";"878453.6500003502";"2268471.540024675"
"0201092";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS7";;;;;;"Lambert II Etendu";"878471.4799777626";"2268505.2200123384"
"0201093";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS7";;;;;;"Lambert II Etendu";"878489.6799932586";"2268541.2699893904"
"0201094";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS7";;;;;;"Lambert II Etendu";"878504.3299680783";"2268576.330005896"
"0201096";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS7";"HAU";;;;;"Lambert II Etendu";"878541.3900243978";"2268650.7600380164"
"0201100";"70109";"BUTHIERS";"B004";"LD AVOUAY";"DEV";"A00";"X0";;"BS7";;;;;;"Lambert II Etendu";"878626.1200026602";"2268779.5300065787"
