"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0734334";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BH8";;;;;;"Lambert II Etendu";"882876.8981598101";"2302274.228177501"
"0734324";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BS8";"PRT";"TDL";"PMX";;;"Lambert II Etendu";"882914.852480831";"2302532.378558621"
"0734332";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BH8";"PCG";"TRM";;;;"Lambert II Etendu";"882822.8992084919";"2302248.29728598"
"0734313";"70136";"CHARMOILLE";"011T";"RUE RELAIS";"VTG";"AF0";"X0";"";"BM8";"TRM";;;;;"Lambert II Etendu";"883157.6396959927";"2303058.1783400597"
"0734330";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"198";"TCR";;;;;"Lambert II Etendu";"882795.0501533168";"2302324.1290304875"
"0734323";"70136";"CHARMOILLE";"004T";"GRANDE. RUE";"VTG";"AF0";"X0";"";"BS6";;;;;;"Lambert II Etendu";"883213.0788658755";"2302574.039650411"
"0734311";"70136";"CHARMOILLE";"022T";"RUE MIRECOURT";"VTG";"AF0";"X0";"";"BS7";;;;;;"Lambert II Etendu";"883089.3401689038";"2303013.6984873204"
"0734316";"70136";"CHARMOILLE";"010T";"RUE SELLEREY";"VTG";"AF0";"X0";"";"BS6";"TRN";;;;;"Lambert II Etendu";"883584.9892307993";"2303044.788844791"
"0734328";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BS8";"TCR";"REC";;;;"Lambert II Etendu";"882809.76853317";"2302407.168456208"
"0734314";"70136";"CHARMOILLE";"011T";"RUE RELAIS";"VTG";"AF0";"X0";"";"BS7";;;;;;"Lambert II Etendu";"883193.0486095835";"2303019.827572434"
"0734317";"70136";"CHARMOILLE";"010T";"RUE SELLEREY";"VTG";"AF0";"X0";"";"BS6";"PCG";;;;;"Lambert II Etendu";"883658.4797829152";"2303080.019392253"
"0734321";"70136";"CHARMOILLE";"004T";"GRANDE. RUE";"VTG";"AF0";"X0";"";"MX8";"TRM";;;;;"Lambert II Etendu";"883252.1892512722";"2302532.0977357193"
"0734325";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"882883.7591014303";"2302497.7687766887"
"0734326";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"882851.1789893939";"2302463.749573114"
"0734327";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BS8";"TCR";;;;;"Lambert II Etendu";"882826.6700525288";"2302438.3979568575"
"0734329";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BS8";"TCR";;;;;"Lambert II Etendu";"882801.1291124151";"2302364.468047901"
"0734331";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"882809.1194425421";"2302286.9173291572"
"0734333";"70136";"CHARMOILLE";"019T";"RUE PUITS SALE";"VTG";"AF0";"X0";"";"BS8";;;;;;"Lambert II Etendu";"882843.0881411649";"2302263.1700560753"
"0734322";"70136";"CHARMOILLE";"004T";"GRANDE. RUE";"VTG";"AF0";"X0";"";"MI7";"PCG";;;;;"Lambert II Etendu";"883233.0886422227";"2302551.2785731126"
"0734318";"70136";"CHARMOILLE";"012T";"RUE HUGUENOT";"VTG";"AF0";"X0";"";"MS8";"TRM";;;;;"Lambert II Etendu";"883325.0589527937";"2302585.728442295"
"0734315";"70136";"CHARMOILLE";"011T";"RUE RELAIS";"VTG";"AF0";"X0";"6";"MS8";"TDL";"REC";;;;"Lambert II Etendu";"883212.2790511482";"2303006.088644657"
"0734320";"70136";"CHARMOILLE";"012T";"RUE HUGUENOT";"VTG";"AF0";"X0";"";"MS8";"PCG";"TRM";;;;"Lambert II Etendu";"883252.2797410432";"2302517.6871212726"
"0721669";"70136";"CHARMOILLE";"012T";"RUE HUGUENOT";"VTG";"AF0";"X0";"";"198";"TRM";"TDL";;;;"Lambert II Etendu";"883355.9986265239";"2302641.9990733527"
