"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0704685";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"849171.6245387979";"2277248.5142208706"
"0704688";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"44";"BS7";"TRN";;;;;"Lambert II Etendu";"849234.562981857";"2277247.6385006313"
"0704670";"70018";"ANCIER";"B031";"RUE VARENNES";"GAY";"E00";"X0";"28";"BS7";;;;;;"Lambert II Etendu";"847782.8438454323";"2276750.5488461116"
"0704682";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"849050.4633006358";"2277245.829576659"
"0704673";"70018";"ANCIER";"011T";"RUE SIMON GAUTHIOT";"GAY";"E00";"X0";"40";"BS8";"TRN";;;;;"Lambert II Etendu";"848116.8807289904";"2277077.760311104"
"0704668";"70018";"ANCIER";"017T";"RUE MOULINOTS";"GAY";"E00";"X0";"";"BS8";"TRM";"TRN";;;;"Lambert II Etendu";"848445.8390495295";"2276589.3411957463"
"0704690";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"849325.6238078387";"2277248.132567614"
"0704691";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"BS8";"PCG";"TRM";"TDL";;;"Lambert II Etendu";"849356.8068387946";"2277248.517938518"
"0704671";"70018";"ANCIER";"B031";"RUE VARENNES";"GAY";"E00";"X0";"24";"BS8";"TRN";;;;;"Lambert II Etendu";"847847.3076433992";"2276788.481559622"
"0704704";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MC6";;;;;;"Lambert II Etendu";"849845.0619939029";"2277257.223260919"
"0704672";"70018";"ANCIER";"B031";"RUE VARENNES";"GAY";"E00";"X0";"2";"MC7";"PCG";"ANC";"TRN";"TDL";;"Lambert II Etendu";"848077.9178038861";"2276923.686155898"
"0704666";"70018";"ANCIER";"014T";"RUE CHAILLES";"GAY";"E00";"X0";"";"MC7";"ANC";"PRT";"TDL";;;"Lambert II Etendu";"848040.1937361807";"2276622.785838197"
"0704676";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MH7";"PCH";"PRT";"TRM";"PMX";;"Lambert II Etendu";"848821.0978343923";"2277237.488370114"
"0704677";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MH7";;;;;;"Lambert II Etendu";"848852.3764507693";"2277241.5841813274"
"0704703";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849800.0338224956";"2277256.993243059"
"0704679";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"848934.9187915986";"2277235.2234775824"
"0704680";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"848971.4650699237";"2277242.694022022"
"0704681";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849013.4080709402";"2277241.489866193"
"0704686";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849211.6994624191";"2277246.861975416"
"0704689";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849290.6967260564";"2277247.0334226983"
"0704692";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849374.9060763879";"2277248.90898869"
"0704694";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849454.9010867485";"2277252.277360878"
"0704695";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849493.1072083596";"2277247.2101246836"
"0704696";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849534.4311290538";"2277248.7653967533"
"0704697";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MR6";;;;;;"Lambert II Etendu";"849573.9493291641";"2277248.3903254815"
"0704698";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MR6";;;;;;"Lambert II Etendu";"849600.6278512017";"2277251.1835564007"
"0704699";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MR6";;;;;;"Lambert II Etendu";"849636.6375959923";"2277250.4756076415"
"0704700";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849675.4257446034";"2277249.514079552"
"0704701";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849720.6192469324";"2277251.790125634"
"0704702";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS6";;;;;;"Lambert II Etendu";"849759.635167337";"2277251.395116047"
"0704675";"70018";"ANCIER";"002T";"RUE CRAIES";"GAY";"E00";"X0";"7";"MS7";;;;;;"Lambert II Etendu";"848539.9110440571";"2276791.1658321903"
"0704669";"70018";"ANCIER";"B031";"RUE VARENNES";"GAY";"E00";"X0";"";"MS7";"PCG";"TRN";"TDL";;;"Lambert II Etendu";"847710.857452428";"2276708.9641643474"
"0704662";"70018";"ANCIER";"018T";"RTE VESOUL";"GAY";"E00";"X0";"1";"MS7";"PCG";;;;;"Lambert II Etendu";"847235.2440078659";"2276520.1488249023"
"0704663";"70018";"ANCIER";"018T";"RTE VESOUL";"GAY";"E00";"X0";"5";"MS7";"TRN";;;;;"Lambert II Etendu";"847272.3433373816";"2276535.6061132657"
"0704665";"70018";"ANCIER";"018T";"RTE VESOUL";"GAY";"E00";"X0";"21";"MS7";"PCG";;;;;"Lambert II Etendu";"847579.2596991162";"2276663.7760396367"
"0704667";"70018";"ANCIER";"018T";"RTE VESOUL";"GAY";"E00";"X0";"";"MS7";;;;;;"Lambert II Etendu";"848131.7454759105";"2276644.7942498825"
"0704678";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS7";;;;;;"Lambert II Etendu";"848889.5073055202";"2277238.136988546"
"0704684";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MR7";;;;;;"Lambert II Etendu";"849133.415794227";"2277244.681595769"
"0704687";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MR7";"PCG";"TRN";;;;"Lambert II Etendu";"849255.1504620671";"2277248.6902464344"
"0704693";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MS7";;;;;;"Lambert II Etendu";"849415.6185242787";"2277253.034055351"
"0704664";"70018";"ANCIER";"018T";"RTE VESOUL";"GAY";"E00";"X0";"11";"MT7";"PCH";;;;;"Lambert II Etendu";"847364.5923299993";"2276574.1368110995"
"0704674";"70018";"ANCIER";"004T";"CHE VERGEROT";"GAY";"E00";"X0";"";"MS8";"TRN";;;;;"Lambert II Etendu";"848488.3175938432";"2277070.3340893714"
"0704683";"70018";"ANCIER";"005T";"RTE CORNEUX";"GAY";"E00";"X0";"";"MR8";;;;;;"Lambert II Etendu";"849093.1510021179";"2277241.875481625"
