"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0711027";"70142";"CHAUMERCENNE";"B013";"RUE DE LA CHARME";"MGY";"B00";"X0";"";"BC7";"PRT";"TDL";"PMX";;;"Lambert II Etendu";"848599.9188178349";"2260618.326354086"
"0711026";"70142";"CHAUMERCENNE";"001T";"RUE PRINCIPALE";"MGY";"B00";"X0";"";"BS7";"PCG";"TRN";;;;"Lambert II Etendu";"848795.5007634189";"2260653.4048776063"
"0740110";"70142";"CHAUMERCENNE";"001T";"RUE PRINCIPALE";"MGY";"B00";"X0";"";"MS8";"TRN";;;;;"Lambert II Etendu";"848830.3369382638";"2260668.0307141463"
