"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0731760";"70506";"TREMOINS";"0119";"RUE VIEILLE ECOLE";"HCT";"M00";"X0";"6";"BS8";"TRN";;;;;"Lambert II Etendu";"928494.1650802612";"2293994.9193905755"
"0731751";"70506";"TREMOINS";"0112";"RUE EGLISE";"HCT";"M00";"X0";"27";"BS8";"TRM";"TRN";;;;"Lambert II Etendu";"928286.1052400839";"2293606.985663096"
"0731743";"70506";"TREMOINS";"0107";"RUE CHAMPS PELERINS";"HCT";"M00";"X0";"";"MC8";"TRM";;;;;"Lambert II Etendu";"928523.4393212165";"2293759.9258468524"
"0731747";"70506";"TREMOINS";"0112";"RUE EGLISE";"HCT";"M00";"X0";"";"MC7";"ANC";;;;;"Lambert II Etendu";"928665.2266301413";"2293884.732166309"
"0731742";"70506";"TREMOINS";"0107";"RUE CHAMPS PELERINS";"HCT";"M00";"X0";"F5";"MS7";"TCR";;;;;"Lambert II Etendu";"928512.0737440982";"2293731.6415209766"
"0731749";"70506";"TREMOINS";"0112";"RUE EGLISE";"HCT";"M00";"X0";"F3";"MH8";"TRM";"TRN";;;;"Lambert II Etendu";"928628.994443902";"2293897.0064026723"
"0731750";"70506";"TREMOINS";"0112";"RUE EGLISE";"HCT";"M00";"X0";"";"MS7";"TRM";"TRN";;;;"Lambert II Etendu";"928489.5269331827";"2293816.313729601"
"0731752";"70506";"TREMOINS";"0113";"GRANDE RUE";"HCT";"M00";"X0";"";"MS8";;;;;;"Lambert II Etendu";"928900.1908187084";"2293644.4853058564"
"0731753";"70506";"TREMOINS";"0113";"GRANDE RUE";"HCT";"M00";"X0";"";"MS8";;;;;;"Lambert II Etendu";"928866.3474441351";"2293672.4804141847"
"0731759";"70506";"TREMOINS";"0118";"RUE TRIEUR";"HCT";"M00";"X0";"";"MS7";"TRM";"TRN";;;;"Lambert II Etendu";"928568.4754061475";"2294228.436573591"
"0731745";"70506";"TREMOINS";"0107";"RUE CHAMPS PELERINS";"HCT";"M00";"X0";"";"MS8";;;;;;"Lambert II Etendu";"928540.6769696696";"2293797.816075216"
"0731746";"70506";"TREMOINS";"0107";"RUE CHAMPS PELERINS";"HCT";"M00";"X0";"";"MS8";"TRM";"TRN";;;;"Lambert II Etendu";"928540.658408564";"2293827.508734726"
"0731748";"70506";"TREMOINS";"0112";"RUE EGLISE";"HCT";"M00";"X0";"3";"MS7";"TRM";"TRN";;;;"Lambert II Etendu";"928641.8208523039";"2293899.019109148"
"0731744";"70506";"TREMOINS";"0107";"RUE CHAMPS PELERINS";"HCT";"M00";"X0";"";"MS8";"TRM";;;;;"Lambert II Etendu";"928532.0221589298";"2293779.5185004193"
