"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0734572";"70085";"BOULT";"016T";"GRANDE. RUE";"BLT";"ZD0";"X0";;"BC8";"SPC";"PRT";"TDL";;;"Lambert II Etendu";"876376.690016032";"2270854.9099985408"
"0734553";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BC8";"ANC";"PRT";"RPC";"TRN";"TDL";"Lambert II Etendu";"876409.7699922648";"2271237.0600149264"
"0734581";"70085";"BOULT";"006T";"RTE CHAUX";"BLT";"ZD0";"X0";"F2";"BC8";"SPC";"ANC";"TCR";"TRM";"TDL";"Lambert II Etendu";"876384.1400171069";"2271184.6600007145"
"0734569";"70085";"BOULT";"016T";"GRANDE. RUE";"BLT";"ZD0";"X0";;"BH7";"SPC";;;;;"Lambert II Etendu";"876310.6699897221";"2270754.8400393873"
"0734570";"70085";"BOULT";"016T";"GRANDE. RUE";"BLT";"ZD0";"X0";;"BH8";"TCR";"TRM";;;;"Lambert II Etendu";"876335.3800173989";"2270789.730000261"
"0734550";"70085";"BOULT";"003T";"LD TOUNOLE";"BLT";"A00";"X0";;"BM7";;;;;;"Lambert II Etendu";"875334.749997081";"2269758.9699741565"
"0734547";"70085";"BOULT";"003T";"LD TOUNOLE";"BLT";"A00";"X0";;"BM8";"TRM";"TDL";;;;"Lambert II Etendu";"875419.6800303874";"2269675.370027076"
"0734548";"70085";"BOULT";"003T";"LD TOUNOLE";"BLT";"A00";"X0";;"BM8";"PRT";"TDL";;;;"Lambert II Etendu";"875378.9500226004";"2269713.7800410953"
"0734567";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS6";;;;;;"Lambert II Etendu";"875766.1199705054";"2271730.720002618"
"0734568";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS7";"TRN";;;;;"Lambert II Etendu";"875714.8599894217";"2271781.5800368637"
"0720112";"70085";"BOULT";"010T";"CHE COMBE LA BICHE";"BLT";"ZD0";"X0";;"BS7";"TRN";;;;;"Lambert II Etendu";"876475.7500135053";"2270692.3999931403"
"0720120";"70085";"BOULT";"002T";"RTE BUSSIERES";"BLT";"ZD0";"X0";;"BS7";;;;;;"Lambert II Etendu";"876393.1699725003";"2270649.9699967643"
"0720121";"70085";"BOULT";"002T";"RTE BUSSIERES";"BLT";"ZD0";"X0";"12B";"BS7";;;;;;"Lambert II Etendu";"876404.3900269276";"2270607.2600294584"
"0734549";"70085";"BOULT";"003T";"LD TOUNOLE";"BLT";"A00";"X0";;"BS7";;;;;;"Lambert II Etendu";"875354.7300154413";"2269733.569984616"
"0734551";"70085";"BOULT";"003T";"LD TOUNOLE";"BLT";"A00";"X0";;"BS7";;;;;;"Lambert II Etendu";"875298.4400248837";"2269748.809998616"
"0734552";"70085";"BOULT";"003T";"LD TOUNOLE";"BLT";"A00";"X0";;"BS7";;;;;;"Lambert II Etendu";"875259.8500013122";"2269722.530009169"
"0734554";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS7";;;;;;"Lambert II Etendu";"876374.899985844";"2271391.2100023963"
"0734560";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS7";"EPA";;;;;"Lambert II Etendu";"876013.4499965825";"2271580.8399829855"
"0734562";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS7";;;;;;"Lambert II Etendu";"875936.6799886044";"2271633.640000372"
"0734563";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS7";;;;;;"Lambert II Etendu";"875900.2399831803";"2271663.700023647"
"0734564";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS7";"TCR";;;;;"Lambert II Etendu";"875858.1199671619";"2271689.5399960415"
"0734566";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS7";;;;;;"Lambert II Etendu";"875791.559967255";"2271722.980004038"
"0734561";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS7";;;;;;"Lambert II Etendu";"875976.6899966545";"2271607.7000222374"
"0734582";"70085";"BOULT";"006T";"RTE CHAUX";"BLT";"ZD0";"X0";"1";"BS7";"SPC";"TRN";;;;"Lambert II Etendu";"876359.4700052233";"2271170.4999845396"
"0734577";"70085";"BOULT";"004T";"RTE VORAY";"BLT";"ZD0";"X0";;"BS8";;;;;;"Lambert II Etendu";"877285.2799808758";"2270562.309973603"
"0734578";"70085";"BOULT";"004T";"RTE VORAY";"BLT";"ZD0";"X0";;"BS8";;;;;;"Lambert II Etendu";"877064.0000309129";"2270864.920022664"
"0734574";"70085";"BOULT";"002T";"RTE BUSSIERES";"BLT";"ZD0";"X0";"7";"BS8";"EPA";"TRM";"TRN";;;"Lambert II Etendu";"876433.7700144004";"2270860.690033326"
"0734575";"70085";"BOULT";"002T";"RTE BUSSIERES";"BLT";"ZD0";"X0";"F19";"BS8";"TCR";"TRM";"TRN";;;"Lambert II Etendu";"876396.8300302268";"2270720.2199892257"
"0734576";"70085";"BOULT";"010T";"CHE COMBE LA BICHE";"BLT";"ZD0";"X0";"15";"BS8";"TRN";;;;;"Lambert II Etendu";"876410.1999890918";"2270771.660038742"
"0720124";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS8";;;;;;"Lambert II Etendu";"876116.5000148292";"2271505.1700411113"
"0720125";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS8";"TRM";;;;;"Lambert II Etendu";"876082.2699719965";"2271528.760021477"
"0734546";"70085";"BOULT";"003T";"LD TOUNOLE";"BLT";"A00";"X0";;"BS8";"SPC";"TRM";"TDL";;;"Lambert II Etendu";"875422.6000263179";"2269669.5699807703"
"0734559";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS8";"TRM";;;;;"Lambert II Etendu";"876049.9900061297";"2271556.020016366"
"0734565";"70085";"BOULT";"015T";"RUE TUILERIE";"BLT";"ZD0";"X0";;"BS8";"PRT";"TCR";"REC";;;"Lambert II Etendu";"875823.4699987959";"2271708.1399791753"
"0734571";"70085";"BOULT";"016T";"GRANDE. RUE";"BLT";"ZD0";"X0";;"BS8";"TRM";;;;;"Lambert II Etendu";"876353.209974421";"2270820.589994869"
"0734580";"70085";"BOULT";"001T";"RUE TILLEUL";"BLT";"ZD0";"X0";"9";"MS7";"TRN";;;;;"Lambert II Etendu";"876741.2500040797";"2271074.999992789"
"0734573";"70085";"BOULT";"016T";"GRANDE. RUE";"BLT";"ZD0";"X0";;"MS7";;;;;;"Lambert II Etendu";"876400.5999733681";"2270896.6399874296"
"0734579";"70085";"BOULT";"001T";"RUE TILLEUL";"BLT";"ZD0";"X0";"F18";"MS7";"SPC";"TRN";;;;"Lambert II Etendu";"876804.8000167011";"2271008.9799881177"
