"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0704438";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BC6";;;;;;"Lambert II Etendu";"842422.3876716617";"2281916.022666827"
"0704260";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"839897.0344855253";"2283375.8998153666"
"0704261";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC7";"PRT";;;;;"Lambert II Etendu";"839917.3888723573";"2283341.8608615124"
"0704262";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"839939.6080653908";"2283311.421074855"
"0704263";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"839973.7088549407";"2283291.6627381686"
"0704266";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC6";;;;;;"Lambert II Etendu";"840091.7393451957";"2283262.883932947"
"0704272";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"840302.4118153633";"2283143.6609362564"
"0704273";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"840336.1182648037";"2283121.2923266604"
"0704274";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC6";;;;;;"Lambert II Etendu";"840361.6487382014";"2283126.96533714"
"0704280";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"840907.7214736023";"2283338.3258074634"
"0704284";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"841011.766834924";"2283162.4914772077"
"0704285";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC7";;;;;;"Lambert II Etendu";"841033.1046184453";"2283126.085295432"
"0704288";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BC6";"PCG";"PRT";"TCR";;;"Lambert II Etendu";"841092.657331051";"2282996.842467855"
"0704423";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BC6";"TCR";;;;;"Lambert II Etendu";"842838.1768776579";"2281554.5626821476"
"0704425";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BC6";;;;;;"Lambert II Etendu";"842792.0000239167";"2281607.7471026042"
"0704413";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BC7";"PCH";"PRT";"TDL";"PMX";;"Lambert II Etendu";"843145.2067796113";"2281369.2904487355"
"0704431";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BS8";"TCR";"REC";;;;"Lambert II Etendu";"842635.6721663398";"2281738.57004851"
"0704417";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BH6";"TCR";;;;;"Lambert II Etendu";"843019.7565793063";"2281415.137972375"
"0704441";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BH7";"TCR";;;;;"Lambert II Etendu";"842327.0918989091";"2281984.075003354"
"0704444";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BH7";"TCR";;;;;"Lambert II Etendu";"842250.8324123317";"2282075.3471598793"
"0704445";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"1";"BH8";"TRM";"REC";;;;"Lambert II Etendu";"842236.8017598762";"2282101.8485242045"
"0704437";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"842448.0356018967";"2281885.1758323372"
"0704433";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BS6";"TCR";;;;;"Lambert II Etendu";"842563.9435192378";"2281771.2367225513"
"0704434";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BS6";"TCR";;;;;"Lambert II Etendu";"842531.7273324699";"2281799.774035206"
"0704432";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BS6";"TCR";;;;;"Lambert II Etendu";"842596.1231453646";"2281755.864971018"
"0704440";"70043";"AUVET-ET-LA-CHAPELOTTE";"012T";"LD CHAPELOTTE";"GAY";"K00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"842362.0219832825";"2281962.880265449"
"0704264";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"840011.7320294046";"2283277.441633486"
"0704265";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"840056.2594493573";"2283270.1606968576"
"0704267";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS6";"TCR";;;;;"Lambert II Etendu";"840131.9528716324";"2283241.14909498"
"0704268";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"840160.6428865736";"2283224.695756809"
"0704269";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"840196.4411703533";"2283206.4911201834"
"0704270";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS7";"TCR";;;;;"Lambert II Etendu";"840232.2767327842";"2283178.088589622"
"0704271";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"840264.38986816";"2283164.000054763"
"0704275";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"840390.5420705293";"2283155.0287798448"
"0704276";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS6";"PRT";;;;;"Lambert II Etendu";"840415.4280952549";"2283182.7441411894"
"0704277";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"840445.0536827813";"2283217.5137471748"
"0704278";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"840470.3933872381";"2283249.51310211"
"0704279";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS7";"PCP";"PRT";"PMX";;;"Lambert II Etendu";"840502.7455851621";"2283279.015832119"
"0704281";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"840933.57762912";"2283289.6781732207"
"0704282";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"840967.0786792301";"2283250.7997874087"
"0704283";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS7";;;;;;"Lambert II Etendu";"840990.8132010167";"2283198.7279237714"
"0704286";"70043";"AUVET-ET-LA-CHAPELOTTE";"016T";"LD MOULIN BLEY";"AEY";"B00";"X0";"";"BS6";;;;;;"Lambert II Etendu";"841053.4774444128";"2283079.440210297"
