"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0711032";"70048";"BARD-LES-PESMES";"B048";"RUE MARACHAUX";"MGY";"G00";"X0";"";"BS8";"TRN";;;;;"Lambert II Etendu";"849531.778034171";"2257786.166272699"
"0721285";"70048";"BARD-LES-PESMES";"B055";"RUE PERRIERES";"MGY";"G00";"X0";"";"BS8";"TRN";;;;;"Lambert II Etendu";"849305.371882579";"2258173.697999181"
"0711031";"70048";"BARD-LES-PESMES";"B048";"RUE MARACHAUX";"MGY";"G00";"X0";"";"MC7";"ANC";"PRT";;;;"Lambert II Etendu";"849509.568206354";"2257749.999468456"
