"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0202272";"70119";"CHAMBORNAY-LES-PIN";"006T";"RUE COURBEY";"CUS";"B00";"X0";;"BC6";;;;;;"Lambert II Etendu";"869510.6599867807";"2266845.660024955"
"0202277";"70119";"CHAMBORNAY-LES-PIN";"006T";"RUE COURBEY";"CUS";"B00";"X0";;"BC6";;;;;;"Lambert II Etendu";"869519.4500241199";"2266652.0999954813"
"0202279";"70119";"CHAMBORNAY-LES-PIN";"006T";"RUE COURBEY";"CUS";"B00";"X0";;"BC6";"TCR";;;;;"Lambert II Etendu";"869516.1999791509";"2266570.9100089637"
"0202282";"70119";"CHAMBORNAY-LES-PIN";"006T";"RUE COURBEY";"CUS";"B00";"X0";;"BC7";;;;;;"Lambert II Etendu";"869555.3899982432";"2266457.280028092"
"0202295";"70119";"CHAMBORNAY-LES-PIN";"006T";"RUE COURBEY";"CUS";"B00";"X0";"F19";"BC7";"SPC";"ANC";"PRT";"TDL";;"Lambert II Etendu";"869785.7300092375";"2266074.3499967805"
"0202283";"70119";"CHAMBORNAY-LES-PIN";"006T";"RUE COURBEY";"CUS";"B00";"X0";;"BC7";;;;;;"Lambert II Etendu";"869567.2399697413";"2266429.25998561"
"0202287";"70119";"CHAMBORNAY-LES-PIN";"006T";"RUE COURBEY";"CUS";"B00";"X0";;"BC7";;;;;;"Lambert II Etendu";"869628.0200182064";"2266312.4099799837"
"0202288";"70119";"CHAMBORNAY-LES-PIN";"006T";"RUE COURBEY";"CUS";"B00";"X0";"F20";"BC6";;;;;;"Lambert II Etendu";"869646.5500281146";"2266285.2600106676"
"0202292";"70119";"CHAMBORNAY-LES-PIN";"006T";"RUE COURBEY";"CUS";"B00";"X0";"25";"BC8";"SPC";"TRN";;;;"Lambert II Etendu";"869733.3299792989";"2266167.8600078356"
"0202329";"70119";"CHAMBORNAY-LES-PIN";"019T";"RUE CHANOIS";"CUS";"B00";"X0";"18.16";"BC8";"ANC";;;;;"Lambert II Etendu";"869950.1199900388";"2265927.909990364"
