"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0704797";"70054";"BATTRANS";"001T";"LOT LONGEOTS";"GAY";"G00";"X0";"";"BM7";;;;;;"Lambert II Etendu";"849264.6033099368";"2275642.5000882065"
"0704795";"70054";"BATTRANS";"001T";"LOT LONGEOTS";"GAY";"G00";"X0";"";"BM8";;;;;;"Lambert II Etendu";"849274.8884009216";"2275550.5769874435"
"0704796";"70054";"BATTRANS";"001T";"LOT LONGEOTS";"GAY";"G00";"X0";"";"BM7";;;;;;"Lambert II Etendu";"849275.0611398455";"2275597.3185160346"
"0704798";"70054";"BATTRANS";"001T";"LOT LONGEOTS";"GAY";"G00";"X0";"";"BM8";;;;;;"Lambert II Etendu";"849246.4693242789";"2275669.7406776603"
"0704799";"70054";"BATTRANS";"004T";"RUE PERRIERES";"GAY";"G00";"X0";"";"BH8";"TRM";"TRN";;;;"Lambert II Etendu";"848975.0553712128";"2275474.730645376"
"0704800";"70054";"BATTRANS";"007T";"RUE ABREUVOIR";"GAY";"G00";"X0";"";"MS8";"TRM";;;;;"Lambert II Etendu";"848946.9291880281";"2274970.044587738"
"0704801";"70054";"BATTRANS";"007T";"RUE ABREUVOIR";"GAY";"G00";"X0";"";"MS8";"TRM";;;;;"Lambert II Etendu";"848965.298847851";"2274922.2277851673"
