"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0201153";"70575";"VORAY SUR L'OGNON";"0043";"RUE CHAPELLE";"DEV";"A00";"X0";"34";"BC8";"SPC";"TRM";"TDL";;;"Lambert II Etendu";"878303.5299744538";"2266676.2100192006"
"0201143";"70575";"VORAY SUR L'OGNON";"0041";"RUE BUSSIERES";"DEV";"A00";"X0";;"BC8";"TRN";"TDL";;;;"Lambert II Etendu";"877949.259988548";"2266635.6899934737"
"0201146";"70575";"VORAY SUR L'OGNON";"0040";"VIEILLE ROUTE DE BOULT";"DEV";"A00";"X0";"15";"BM8";"TRN";;;;;"Lambert II Etendu";"878078.4000151422";"2266979.3100298755"
"0201148";"70575";"VORAY SUR L'OGNON";"0043";"RUE CHAPELLE";"DEV";"A00";"X0";"58";"BS0";"SPC";;;;;"Lambert II Etendu";"878413.9100293359";"2266798.5800226927"
"0201126";"70575";"VORAY SUR L'OGNON";"011T";"CHE VAIVRE";"DEV";"A00";"X0";;"BS7";"DES";;;;;"Lambert II Etendu";"877277.5099662923";"2266624.2800075402"
"0201137";"70575";"VORAY SUR L'OGNON";"0095";"RUE PRES LAJUX";"DEV";"A00";"X0";"F5";"BS7";;;;;;"Lambert II Etendu";"877800.2499705036";"2266381.810016564"
"0201138";"70575";"VORAY SUR L'OGNON";"0095";"RUE PRES LAJUX";"DEV";"A00";"X0";;"BS7";;;;;;"Lambert II Etendu";"877748.9699658205";"2266407.7900342327"
"0201139";"70575";"VORAY SUR L'OGNON";"0095";"RUE PRES LAJUX";"DEV";"A00";"X0";;"BS7";"TDL";;;;;"Lambert II Etendu";"877720.3900054037";"2266420.919984654"
"0201152";"70575";"VORAY SUR L'OGNON";"0043";"RUE CHAPELLE";"DEV";"A00";"X0";"34";"BS7";;;;;;"Lambert II Etendu";"878317.3600251637";"2266690.9500303473"
"0201142";"70575";"VORAY SUR L'OGNON";"0041";"RUE BUSSIERES";"DEV";"A00";"X0";"23";"BS7";;;;;;"Lambert II Etendu";"877950.3400173023";"2266609.7900098558"
"0201149";"70575";"VORAY SUR L'OGNON";"0043";"RUE CHAPELLE";"DEV";"A00";"X0";;"BS7";;;;;;"Lambert II Etendu";"878390.8999733147";"2266773.3999841465"
"0201150";"70575";"VORAY SUR L'OGNON";"0043";"RUE CHAPELLE";"DEV";"A00";"X0";"50";"BS7";;;;;;"Lambert II Etendu";"878367.1900160436";"2266746.7200025246"
"0201151";"70575";"VORAY SUR L'OGNON";"0043";"RUE CHAPELLE";"DEV";"A00";"X0";"46";"BS7";;;;;;"Lambert II Etendu";"878344.6100135007";"2266719.709985053"
"0201135";"70575";"VORAY SUR L'OGNON";"011T";"CHE VAIVRE";"DEV";"A00";"X0";;"BS8";"SPC";"TRN";;;;"Lambert II Etendu";"877742.9799964953";"2266563.539999024"
"0201136";"70575";"VORAY SUR L'OGNON";"0095";"RUE PRES LAJUX";"DEV";"A00";"X0";;"BS8";"TRM";"TRN";;;;"Lambert II Etendu";"877847.8900109353";"2266353.0499837"
"0201141";"70575";"VORAY SUR L'OGNON";"0041";"RUE BUSSIERES";"DEV";"A00";"X0";"23";"BS8";"SPC";"TRN";;;;"Lambert II Etendu";"877950.9700026814";"2266572.3199744"
"0201147";"70575";"VORAY SUR L'OGNON";"0040";"VIEILLE ROUTE DE BOULT";"DEV";"A00";"X0";"17";"BS8";"TRN";;;;;"Lambert II Etendu";"878057.329985406";"2267017.469988674"
"0201144";"70575";"VORAY SUR L'OGNON";"0041";"RUE BUSSIERES";"DEV";"A00";"X0";;"MH8";"HAU";"TRN";"TDL";;;"Lambert II Etendu";"877936.7700065199";"2266681.2700042664"
"0201145";"70575";"VORAY SUR L'OGNON";"0054";"RUE BEAUREGARD";"DEV";"A00";"X0";;"MS7";"TDL";;;;;"Lambert II Etendu";"877926.7700039959";"2266663.3900139723"
