num_appui;code_commune;libelle_commune;code_voie;libelle_voie;code_centre;code_zone;code_entite;num_voie;type_appui;caract1;caract2;caract3;caract4;caract5;type_projection;coord_x;coord_y
738019;70006;AILLEVILLERS-ET-LYAUMONT;040T;LES MAINGRAINS;SLP;J00;X0;;BC7;;;;;;Lambert II Etendu;893843.4185906756;2332405.676734795
705374;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BC7;;;;;;Lambert II Etendu;899116.1919369402;2333376.891445408
705290;70006;AILLEVILLERS-ET-LYAUMONT;046T;LD POIREMONT;AEL;E00;X0;;BC7;TCR;;;;;Lambert II Etendu;900544.7442446954;2334383.3412209908
705506;70006;AILLEVILLERS-ET-LYAUMONT;039T;LE LYAUMONT;AEL;C00;X0;;BC7;TRM;;;;;Lambert II Etendu;895819.3409587548;2334685.3793293405
705417;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BC7;;;;;;Lambert II Etendu;898478.4847061969;2334078.909468852
705359;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BC7;PRT;TDL;PMX;;;Lambert II Etendu;899299.8429718212;2332874.2615046874
705378;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BC7;ANC;;;;;Lambert II Etendu;899066.0448501245;2333509.246531138
738016;70006;AILLEVILLERS-ET-LYAUMONT;040T;LES MAINGRAINS;SLP;J00;X0;;BC6;ANC;;;;;Lambert II Etendu;893915.5312019656;2332499.843389646
738017;70006;AILLEVILLERS-ET-LYAUMONT;040T;LES MAINGRAINS;SLP;J00;X0;;BC6;ANC;;;;;Lambert II Etendu;893883.5840524342;2332472.8210419617
738018;70006;AILLEVILLERS-ET-LYAUMONT;040T;LES MAINGRAINS;SLP;J00;X0;;BC6;ANC;;;;;Lambert II Etendu;893866.2311512809;2332440.7772826767
705513;70006;AILLEVILLERS-ET-LYAUMONT;015T;RUE GARE;AEL;ZD0;X0;9;BC7;ANC;PRT;TRM;TRN;;Lambert II Etendu;899071.3985879448;2331598.12791781
705297;70006;AILLEVILLERS-ET-LYAUMONT;046T;LD POIREMONT;AEL;E00;X0;;BC7;;;;;;Lambert II Etendu;900469.226970184;2334718.3346724864
705460;70006;AILLEVILLERS-ET-LYAUMONT;005T;RUE CHATEAU D'EAU;AEL;ZD0;X0;FACE 8;BC8;PCG;TRM;TRN;;;Lambert II Etendu;898904.1775948436;2332446.5768809314
705392;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;D00;X0;;BC8;PRT;TRM;PKO;PMX;;Lambert II Etendu;898818.8039816888;2333943.879070306
738002;70006;AILLEVILLERS-ET-LYAUMONT;040T;LES MAINGRAINS;SLP;J00;X0;;BC8;TRM;;;;;Lambert II Etendu;894099.4431666189;2332908.949240638
738013;70006;AILLEVILLERS-ET-LYAUMONT;040T;LES MAINGRAINS;SLP;J00;X0;;BH8;TRM;;;;;Lambert II Etendu;893996.3068223938;2332483.2923532305
705576;70006;AILLEVILLERS-ET-LYAUMONT;018T;RUE MAGNY;AEL;ZD0;X0;;BH6;TCR;;;;;Lambert II Etendu;898913.7874511457;2331714.2453661156
705430;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH6;TCR;;;;;Lambert II Etendu;898317.9546984455;2334508.8806352085
705433;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH6;;;;;;Lambert II Etendu;898280.1309393076;2334590.6504773623
705438;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH6;;;;;;Lambert II Etendu;898185.0556797448;2334751.347469081
705340;70006;AILLEVILLERS-ET-LYAUMONT;046T;LD POIREMONT;AEL;E00;X0;;BH6;TCR;;;;;Lambert II Etendu;901753.1440928758;2335973.8044418404
705360;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BH6;TCR;;;;;Lambert II Etendu;899304.5284868958;2332897.325947107
705361;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BH6;;;;;;Lambert II Etendu;899282.2375469098;2332945.551272551
705408;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH6;;;;;;Lambert II Etendu;898754.7202830504;2333977.9153997493
705409;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH6;;;;;;Lambert II Etendu;898729.7655269745;2333985.5521200933
705549;70006;AILLEVILLERS-ET-LYAUMONT;030T;RTE PLOMBIERES;AEL;ZD0;X0;;BS6;;;;;;Lambert II Etendu;901035.6966603219;2332669.296412956
705577;70006;AILLEVILLERS-ET-LYAUMONT;018T;RUE MAGNY;AEL;ZD0;X0;;BH7;TRM;TRN;;;;Lambert II Etendu;898887.0134457219;2331683.9327039015
705449;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH6;;;;;;Lambert II Etendu;898022.1656635017;2335088.6054043686
705368;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BH7;TCR;;;;;Lambert II Etendu;899227.7824761546;2333194.0394643974
705272;70006;AILLEVILLERS-ET-LYAUMONT;046T;LD POIREMONT;AEL;E00;X0;;BH7;TCR;;;;;Lambert II Etendu;900473.1874123851;2333774.327631104
705424;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH6;;;;;;Lambert II Etendu;898384.3711572269;2334284.1898404784
705425;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH7;;;;;;Lambert II Etendu;898376.105649379;2334319.213782595
705501;70006;AILLEVILLERS-ET-LYAUMONT;039T;LE LYAUMONT;AEL;C00;X0;522;BH7;TRN;PMX;;;;Lambert II Etendu;895472.9685989905;2334688.1478135786
705369;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BH7;TCR;;;;;Lambert II Etendu;899200.0831394817;2333250.5256156083
705370;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BH7;TCR;;;;;Lambert II Etendu;899194.641552943;2333254.5163012515
705384;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BH6;TCR;;;;;Lambert II Etendu;899031.2409528389;2333727.1909018927
705385;70006;AILLEVILLERS-ET-LYAUMONT;044T;LES GRANGES;AEL;ZD0;X0;;BH6;TCR;;;;;Lambert II Etendu;899009.7342434545;2333755.22970568
705319;70006;AILLEVILLERS-ET-LYAUMONT;046T;LD POIREMONT;AEL;E00;X0;;BH8;TRM;;;;;Lambert II Etendu;901119.4021839737;2335295.417924739
705276;70006;AILLEVILLERS-ET-LYAUMONT;046T;LD POIREMONT;AEL;E00;X0;;BH8;TCR;;;;;Lambert II Etendu;900591.4823419375;2333819.1727738623
705295;70006;AILLEVILLERS-ET-LYAUMONT;046T;LD POIREMONT;AEL;E00;X0;;BH7;TCR;;;;;Lambert II Etendu;900498.9091583318;2334589.2094893106
705298;70006;AILLEVILLERS-ET-LYAUMONT;046T;LD POIREMONT;AEL;E00;X0;;BH6;TCR;;;;;Lambert II Etendu;900478.5038161929;2334734.398289071
738008;70006;AILLEVILLERS-ET-LYAUMONT;040T;LES MAINGRAINS;SLP;J00;X0;;BH7;TCR;;;;;Lambert II Etendu;894044.6967595231;2332657.549313836
738012;70006;AILLEVILLERS-ET-LYAUMONT;040T;LES MAINGRAINS;SLP;J00;X0;;BH7;TCR;;;;;Lambert II Etendu;894034.1966313699;2332498.7370331255
705563;70006;AILLEVILLERS-ET-LYAUMONT;030T;RTE PLOMBIERES;AEL;ZD0;X0;;BH8;TRM;;;;;Lambert II Etendu;901355.9248972351;2333137.2400373933
705565;70006;AILLEVILLERS-ET-LYAUMONT;030T;RTE PLOMBIERES;AEL;ZD0;X0;;BS8;PRT;TRM;PMX;;;Lambert II Etendu;901364.8620143735;2333223.0641393308
705566;70006;AILLEVILLERS-ET-LYAUMONT;030T;RTE PLOMBIERES;AEL;ZD0;X0;;BH8;TRM;;;;;Lambert II Etendu;901355.2181687721;2333255.4158081044
705434;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH8;TCR;;;;;Lambert II Etendu;898261.5495043148;2334620.1395641216
705452;70006;AILLEVILLERS-ET-LYAUMONT;042T;LD CHAUDEAU;AEL;D00;X0;;BH8;TRM;;;;;Lambert II Etendu;897997.9074911957;2335153.807940054
