id;id_opp;prev_starr;lg_prev_st;gc_typ_mut;lg_typ_mut;gc_typ_int;lg_typ_int;longueur;com_dep
1;OPP_4-6_LT_26165_LVON_002;Aerien BT;156;Superieur;156;;;156;LIVRON-SUR-DROME
2;OPP_4-6_LT_26165_LVON_002;Aerien BT;1844;Superieur;1844;;;1844;LIVRON-SUR-DROME
3;OPP_4-6_LT_26165_LVON_002;GC a creer;1994;Superieur;1018;;;1018;LIVRON-SUR-DROME
