id;id_opp;prev_starr;lg_prev_st;gc_typ_mut;lg_typ_mut;gc_typ_int;lg_typ_int;longueur;com_dep
1;OPP_4-36_LT_26146_GGAN_001;Conduite FT;318;Identique;134;;;134;CHAMARET
2;OPP_4-36_LT_26146_GGAN_001;Conduite FT;322;Identique;104;;;104;CHAMARET
