;N070RIO_S02B;AD700100202642;2;;Rue du Bocage;LES SAVOUROTS             ;Voray-sur-l'Ognon;70190;70575;928125.719726501;6698460.3971452;B040;ADRNIVX_0000000350258152;;;2018700575000ZH0086;928134.612794558;6698454.88678133;;;;;1;0;1;1;2;1;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;SODEM;Entreprises;;;;01010000206A080000F0FD7F70FB522C41B1D36A19778D5941;
58644;N070RIO_S02B;AD700100202644;4;;Rue du Bocage;LES SAVOUROTS             ;Voray-sur-l'Ognon;70190;70575;928172.605102539;6698410.7230835;B040;ADRNIVX_0000000354867617;;;2018700575000ZH0098;928172.755631211;6698413.02266244;;;;;0;1;0;1;1;0;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;PICCAND;Artisans ou libérales;;;;01010000206A0800000000D03559532C41000047AE6A8D5941;
;N070RIO_S02B;AD700100202646;1;;Rue du Bocage;LES SAVOUROTS             ;Voray-sur-l'Ognon;70190;70575;928131.66251622;6698543.85458343;B040;ADRNIVX_0000000339678765;;;2018700575000ZH0104;928130.500236283;6698542.05037595;;;;;0;1;0;1;1;1;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;MGP ET MGS;Entreprises;;;;01010000206A0800007853355307532C41B87EB1F68B8D5941;
58643;N070RIO_S02B;AD700100202647;5;;Rue du Bocage;LES SAVOUROTS             ;Voray-sur-l'Ognon;70190;70575;928224.293273926;6698437.82110596;B040;ADRNIVX_0000000350258154;;;2018700575000ZH0090;928232.784698981;6698446.04201288;;;;;1;0;1;1;2;1;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;PROFIL;Entreprises;;;;01010000206A08000000002896C0532C4100008D74718D5941;
58630;N070RIO_S02B;AD700100202648;7;;Rue du Bocage;LES SAVOUROTS             ;Voray-sur-l'Ognon;70190;70575;928266.76751709;6698426.20367432;B040;ADRNIVX_0000000350258155;;;2018700575000ZH0091;928257.900025503;6698417.74294007;;;;;0;2;0;1;1;1;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;TECHNILUXE;Entreprises;;;;01010000206A0800000000F88815542C410000098D6E8D5941;
;N070RIO_S02B;AD700100202649;9;;Rue du Bocage;LES SAVOUROTS             ;Voray-sur-l'Ognon;70190;70575;928323.89884454;6698321.64592436;B040;ADRNIVX_0000002010099496;;;2018700575000ZH0093;928340.486380693;6698320.62309224;;;;;0;2;0;1;1;1;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;VOIRET DEMENAGEMENT ET SANTE DU TRAVAIL;Entreprises;;;;01010000206A080000FB5935CC87542C411DD35669548D5941;
58333;N070RIO_S02B;AD700100202757;26;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927733.81072998;6698267.5100708;0020;ADRNIVX_0000000278296017;;;2018700575000ZA0163;927744.833711548;6698273.49383931;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000189FEB4F2C410000A5E0468D5941;
58332;N070RIO_S02B;AD700100202758;24;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927755.259277344;6698246.69708252;0020;ADRNIVX_0000000278296016;;;2018700575000ZA0164;927759.794562862;6698250.95796491;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000C08416502C4100009DAC418D5941;
;N070RIO_S02B;AD700100202759;22;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927766.762308331;6698221.03837014;0020;ADRNIVX_0000000278296438;;;2018700575000ZA0165;927774.922279771;6698228.99498192;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A08000012474D862D502C4108A874423B8D5941;
58568;N070RIO_S02B;AD700100202760;18;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927800.664306641;6698163.20349121;0020;ADRNIVX_0000000329342693;;;2018700575000ZA0367;927808.048594662;6698184.5896858;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000205471502C41000006CD2C8D5941;
