;N070RIO_S02G;AD700100703456;16;;Rue Clair Soleil;;Rioz;70190;70447;931645.311855772;6706829.67360093;0035;ADRNIVX_0000000278287007;;;2018700447000AM0081;931637.826853342;6706828.93126678;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000488FAB9F7A6E2C4117471C6BA3955941;
;N070RIO_S02G;AD700100703458;20;;Rue Clair Soleil;;Rioz;70190;70447;931700.995277756;6706809.57732834;0035;ADRNIVX_0000000278287878;;;2018700447000AM0083;931698.131818591;6706806.63285806;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000C50B95FDE96E2C418FF2F2649E955941;
;N070RIO_S02G;AD700100703465;12;;Rue du Bien Être;;Rioz;70190;70447;931696.808554298;6706744.8226722;0022;ADRNIVX_0000002010099574;;;2018700447000AM0252;931697.343082868;6706731.7401884;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A08000035D4FA9DE16E2C414AA9A6348E955941;
;N070RIO_S02G;AD700100703466;14;;Rue du Bien Être;;Rioz;70190;70447;931719.137746071;6706744.8226722;0022;ADRNIVX_0000002010099575;;;2018700447000AM0251;931717.801863966;6706743.48234794;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800002BA786460E6F2C414AA9A6348E955941;
;N070RIO_S02G;AD700100703467;16;;Rue du Bien Être;;Rioz;70190;70447;931744.537201713;6706762.68602562;0022;ADRNIVX_0000002010099576;;;2018700447000AM0250;931740.501248182;6706755.27317273;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000561A0C13416F2C41FCD7E7AB92955941;
;N070RIO_S02G;AD700100703468;18;;Rue du Bien Être;;Rioz;70190;70447;931757.934716776;6706774.4088513;0022;ADRNIVX_0000002005957177;;;2018700447000AM0249;931760.17421725;6706772.09694447;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000833293DE5B6F2C41A19E2A9A95955941;
;N070RIO_S02G;AD700100703476;1;;Rue Clair Soleil;;Rioz;70190;70447;931654.662204826;6706878.23959304;0035;ADRNIVX_0000000278286987;;;2018700447000AI0122;931653.68643475;6706871.49335337;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000CF820C538D6E2C410D7E558FAF955941;
;N070RIO_S02G;AD700100703477;1;;Rue Clair Soleil;;Rioz;70190;70447;931683.550596682;6706861.77181411;0035;ADRNIVX_0000000278286988;;;2018700447000AI0123;931683.506475296;6706867.67242764;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000F1CEE719C76E2C4101676571AB955941;
;N070RIO_S02G;AD700100703478;1;;Rue Clair Soleil;;Rioz;70190;70447;931706.298460801;6706858.84110769;0035;ADRNIVX_0000000278286989;;;2018700447000AI0124;931704.635878767;6706866.9779257;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000A9DACF98F46E2C4155B5D4B5AA955941;
;N070RIO_S02G;AD700100703583;1;B;Rue des Cytises;;Rioz;70190;70447;931666.892015157;6706555.40869084;0047;ADRNIVX_0000000278287883;;;2018700447000AM0152;931670.517076587;6706538.00912096;;;;;2;0;2;0;2;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000ED35B6C8A56E2C41A5FD27DA5E955941;
;N070RIO_S02G;AD700100703584;6;;Impasse des Sorbiers;;Rioz;70190;70447;931692.291470799;6706562.66567817;0187;ADRNIVX_0000000278287895;;;2018700447000AM0158;931693.903526474;6706562.75553111;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A08000018A93B95D86E2C419E789AAA60955941;
;N070RIO_S02G;AD700100703585;2;;Impasse des Sorbiers;;Rioz;70190;70447;931681.405989809;6706583.32018056;0187;ADRNIVX_0000000278287893;;;2018700447000AM0227;931681.810878944;6706581.46861792;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A08000073E5DDCFC26E2C419CD67DD465955941;
