2666;N070GAY_S01E;AD700020504903;4;;Rue des Roses;;Arc-lès-Gray;70100;70026;894641.370058604;6710457.29373296;0356;ADRNIVX_0000000278280406;894620.894857787;6710451.18695332;20187000260000C0585;894636.994015201;6710451.23656378;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A080000415278BD624D2B415585CC522E995941;
2697;N070GAY_S01E;AD700020504904;2;;Rue des Roses;;Arc-lès-Gray;70100;70026;894630.218422779;6710432.70294627;0356;ADRNIVX_0000000278280404;894618.395174628;6710428.54185478;20187000260000C0584;894631.803451294;6710425.32198577;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A080000461CD56F4C4D2B415A12FD2C28995941;
2727;N070GAY_S01E;AD700020504905;10;;Rue des Roses;;Arc-lès-Gray;70100;70026;894662.243633353;6710499.18385215;0356;ADRNIVX_0000000278280409;894644.018307397;6710511.5199102;20187000260000C0576;894661.318150152;6710501.29017033;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A080000C882BD7C8C4D2B41CF3BC4CB38995941;
1386;N070GAY_S01E;AD700020504932;43;;Avenue Jean Jaurès;;Arc-lès-Gray;70100;70026;894608.013914539;6710014.05878383;0200;ADRNIVX_0000000278281184;894616.011255651;6710013.21114247;2018700026000AP0018;894607.903203189;6710009.42489568;;;;;2;0;2;0;2;0;;1;P;;;;;;;f;E;;2018-06-09 00:00:00;;;;;;;;;;01010000206A08000078CE1F07204D2B41411DC383BF985941;
2232;N070GAY_S01E;AD700020504947;83;;Avenue Jean Jaurès;;Arc-lès-Gray;70100;70026;894450.934431437;6710402.39337198;0200;ADRNIVX_0000000278280419;894453.028167089;6710394.00975277;2018700026000AO0238;894451.03244865;6710405.27491168;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800001FCC6DDEE54B2B41A7012D9920995941;
2233;N070GAY_S01E;AD700020504948;85;;Avenue Jean Jaurès;;Arc-lès-Gray;70100;70026;894480.958066351;6710404.39494764;0200;ADRNIVX_0000000278280420;894497.396126576;6710413.24492546;2018700026000AO0170;894481.334580491;6710410.0501363;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A08000039AC87EA214C2B4174D2461921995941;
2259;N070GAY_S01E;AD700020504949;91;;Avenue Jean Jaurès;;Arc-lès-Gray;70100;70026;894457.51103718;6710485.02985283;0200;ADRNIVX_0000000278280426;894471.492618321;6710488.53463185;2018700026000AO0073;894442.442492661;6710482.85403717;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A08000051AAA605F34B2B41DC1BE94135995941;
1641;N070GAY_S01E;AD700020504950;87;BIS;Avenue Jean Jaurès;;Arc-lès-Gray;70100;70026;894463.944673233;6710448.71555156;0200;ADRNIVX_0000000278280422;894482.02163286;6710456.97928083;2018700026000AO0247;894465.484807006;6710454.44618161;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A080000C435ACE3FF4B2B41C298CB2D2C995941;
1616;N070GAY_S01E;AD700020504951;87;T;Avenue Jean Jaurès;;Arc-lès-Gray;70100;70026;894437.924189641;6710446.57100621;0200;ADRNIVX_0000000278280424;894485.890831892;6710446.99129161;2018700026000AO0246;894441.994219534;6710451.72172191;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800007A622FD9CB4B2B419D5D8BA42B995941;
2225;N070GAY_S01E;AD700020504958;32;;Avenue Jean Jaurès;;Arc-lès-Gray;70100;70026;894608.344060199;6710143.61823296;0200;ADRNIVX_0000000278280374;894601.977013502;6710144.90785167;2018700026000AO0204;894615.816810267;6710148.11873018;;;;;1;0;1;0;1;0;;0;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A08000089A828B0204D2B41FB2091E7DF985941;
