1753;N070GAY_S01C;AD700020304911;105;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894249.546285969;6709185.27816442;0080;ADRNIVX_0000000278282643;894252.013135118;6709194.14732907;2018700026000AD0022;894251.977636236;6709170.30338361;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A08000067CBB217534A2B412372CD51F0975941;
1717;N070GAY_S01C;AD700020304912;107;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894236.772712046;6709181.21384544;0080;ADRNIVX_0000000278282644;894242.726713008;6709189.95378627;2018700026000AD0133;894240.339468458;6709167.14921051;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A080000CDE9A08B394A2B41CDA4AF4DEF975941;
1258;N070GAY_S01C;AD700020304913;109;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894225.624865713;6709175.17542868;0080;ADRNIVX_0000000278282645;894232.170939081;6709185.38535179;2018700026000AD0132;894229.878333359;6709165.46190111;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800001366EE3F234A2B4137393ACBED975941;
1743;N070GAY_S01C;AD700020304914;111;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894219.818695748;6709174.13031809;0080;ADRNIVX_0000000278282646;894214.809348893;6709179.1497224;2018700026000AD0020;894221.525445252;6709163.13853482;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A080000CD162CA3174A2B41AC215788ED975941;
1771;N070GAY_S01C;AD700020304915;113;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894210.064330207;6709167.85965452;0080;ADRNIVX_0000000278282648;894206.31221129;6709173.87053437;2018700026000AD0019;894212.20148944;6709160.76483833;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800008BE3EF20044A2B41699404F7EB975941;
1772;N070GAY_S01C;AD700020304916;115;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894203.909790044;6709163.91145895;0080;ADRNIVX_0000000278282649;894199.922821255;6709170.99430704;2018700026000AD0018;894205.423340685;6709158.26937655;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800002700D0D1F7492B41E95755FAEA975941;
1752;N070GAY_S01C;AD700020304917;68;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894201.12282846;6709203.50953811;0080;ADRNIVX_0000000347750638;894197.796328293;6709210.71593571;2018700026000AC0097;894204.366568625;6709203.99555051;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A080000385FE33EF2492B41BC459CE0F4975941;
1760;N070GAY_S01C;AD700020304918;72;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894188.465377936;6709203.50953811;0080;ADRNIVX_0000000278282621;894195.308439919;6709178.40169234;2018700026000AC0098;894187.876730694;6709197.2397045;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A080000520446EED8492B41BC459CE0F4975941;
1769;N070GAY_S01C;AD700020304919;74;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894160.944132302;6709189.22636;0080;ADRNIVX_0000000278282623;894173.831107549;6709168.919626;2018700026000AC0100;894163.434288791;6709192.06505543;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800001F4F65E3A1492B41A3AE7C4EF1975941;
1775;N070GAY_S01C;AD700020304920;121;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894171.511361639;6709151.48625522;0080;ADRNIVX_0000000278282652;894167.219081467;6709156.69971383;2018700026000AD0015;894172.761413047;6709146.06302019;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800005431D105B7492B413ACE1EDFE7975941;
1506;N070GAY_S01C;AD700020304921;123;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894162.802106691;6709146.84131925;0080;ADRNIVX_0000000278282653;894159.936841981;6709153.46093241;2018700026000AD0014;894165.182189902;6709143.36915663;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800006BBAAD9AA5492B41B32CD8B5E6975941;
1758;N070GAY_S01C;AD700020304922;76;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894138.880686435;6709175.29155208;0080;ADRNIVX_0000000278282626;894144.978032472;6709156.75156488;2018700026000AC0104;894139.438938418;6709172.19838577;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800001755E9C275492B410ECAA8D2ED975941;
1776;N070GAY_S01C;AD700020304923;125;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894156.647566528;6709144.05435767;0080;ADRNIVX_0000000278282654;894152.493104456;6709150.5503319;2018700026000AD0013;894156.839291506;6709140.0234487;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A08000007D78D4B99492B4195987A03E6975941;
1787;N070GAY_S01C;AD700020304924;127;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894147.009324386;6709139.5255451;0080;ADRNIVX_0000000278282655;894143.711950073;6709147.04033502;2018700026000AD0012;894148.516482644;6709137.52551736;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A080000792AC60486492B41E587A2E1E4975941;
1778;N070GAY_S01C;AD700020304925;129;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894139.112933233;6709137.20307711;0080;ADRNIVX_0000000278282656;894134.798294565;6709142.97028472;2018700026000AD0011;894138.753342365;6709134.04085065;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800008062D23976492B412137FF4CE4975941;
1471;N070GAY_S01C;AD700020304926;78;;Rue de Dijon;;Arc-lès-Gray;70100;70026;894104.392036842;6709166.81454393;0080;ADRNIVX_0000000278282628;894111.484771208;6709143.5429904;2018700026000AC0106;894102.150019059;6709167.79857787;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-14 00:00:00;;;;;;;;;;01010000206A0800008E0DB9C830492B41DF7C21B4EB975941;
