21681;N070GAY_S01H;AD700020805033;5;;Quai Villeneuve;;Gray;70100;70279;894969.42170585;6708780.89840724;0650;ADRNIVX_0000000278283476;894971.174855565;6708760.64064054;2018700279000AE0190;894970.812877494;6708782.42819402;;;;;1;0;1;0;1;0;;2;P;;;;;;;f;E;;2018-06-15 00:00:00;;;;;;;;;;01010000206A08000044D4E9D7F24F2B4115817F398B975941;
19934;N070GAY_S01H;AD700020805034;4;;Quai Villeneuve;;Gray;70100;70279;894986.373162484;6708777.24221071;0650;ADRNIVX_0000000278283474;895000.579448036;6708760.60442419;2018700279000AE0025;894992.473048039;6708785.55118071;;;;;1;0;1;0;1;0;;2;P;;;;;;;f;E;;2018-06-15 00:00:00;;;;;;;;;;01010000206A08000033270FBF14502B415B61804F8A975941;
21627;N070GAY_S01H;AD700020805065;24;;Quai Villeneuve;;Gray;70100;70279;894326.23235171;6708797.15333248;0650;ADRNIVX_0000000278283641;894353.990770534;6708754.22031121;2018700279000AE0279;894332.715761155;6708796.1956384;;;;;2;1;2;1;3;1;;2;I;;;;;;;f;E;;2018-06-15 00:00:00;;;;;maçon;Entreprises;;;;01010000206A080000A7CDF676EC4A2B410733D0498F975941;
1177;N070GAY_S01H;AD700020805068;20;;Avenue Charles Couyba;;Arc-lès-Gray;70100;70026;895115.512580858;6708912.73681869;0060;ADRNIVX_0000000278282524;895129.528902963;6708925.2216432;2018700026000AW0015;895106.144991138;6708921.80743043;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A0800008AFF700617512B419609282FAC975941;
21881;N070GAY_S01H;AD700020805069;5;;Rue de Paris;;Gray;70100;70279;895152.387191422;6708825.13762013;0390;ADRNIVX_0000000278283401;895161.978874933;6708825.47466552;2018700279000AE0035;895152.892684173;6708819.32691575;;;;;1;1;1;1;2;0;;2;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;RESTAURANT;Commerce de proximité;;;;01010000206A0800003AF43DC660512B41AAC4CE4896975941;
21875;N070GAY_S01H;AD700020805070;3;;Avenue du Port;;Gray;70100;70279;895140.086962721;6708810.03356632;0480;ADRNIVX_0000000278283411;895145.000812993;6708798.35297824;2018700279000AE0034;895139.796088268;6708811.99188127;;;;;2;0;2;0;2;0;;2;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A080000B660862C48512B4155F3258292975941;
19057;N070GAY_S01H;AD700020805071;1;;Quai Villeneuve;;Gray;70100;70279;895087.708498009;6708775.87680717;0650;ADRNIVX_0000000278283465;895085.495371164;6708764.50095743;2018700279000AE0292;895086.523207892;6708774.49375604;;;;;8;0;8;0;8;0;;2;I;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A0800004540C06ADF502B41D09B1DF889975941;
21886;N070GAY_S01H;AD700020805073;3;;Quai Villeneuve;;Gray;70100;70279;895047.721290922;6708772.62128068;0650;ADRNIVX_0000000278283472;895043.032617849;6708764.99764999;2018700279000AE0029;895044.580642818;6708791.46232926;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A080000350B4D718F502B410C10C32789975941;
18078;N070GAY_S01H;AD700020805074;3;;Rue de Paris;;Gray;70100;70279;895173.527241789;6708781.15294617;0390;ADRNIVX_0000000278283399;895180.015976478;6708781.27372742;2018700279000AE0443;895159.550470885;6708771.47116806;;;;;3;2;3;2;5;2;;2;I;;;;;;;f;E;;2018-06-18 00:00:00;;;;;MVM FERMETURES;GAN;Entreprises;Entreprises;;;;01010000206A080000C4A2F20D8B512B41B7DEC9498B975941;
21766;N070GAY_S01H;AD700020805075;2;;Rue de Paris;;Gray;70100;70279;895207.590236757;6708768.11716578;0390;ADRNIVX_0000000278283398;895196.328373406;6708764.35879837;2018700279000AH0006;895212.402249551;6708770.46775457;;;;;1;0;1;0;1;0;;2;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A0800002483332ECF512B41E5A47F0788975941;
21755;N070GAY_S01H;AD700020805080;1;;Quai Vergy;;Gray;70100;70279;895219.867806257;6708772.77241827;0600;ADRNIVX_0000000278283441;895214.377819688;6708765.72931231;2018700279000AH0006;895212.402249551;6708770.46775457;;;;;1;0;1;0;1;0;;2;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A0800000C1A51BCE7512B41084D6F3189975941;
21752;N070GAY_S01H;AD700020805081;3;;Quai Vergy;;Gray;70100;70279;895235.895595171;6708819.10092725;0600;ADRNIVX_0000000278283443;895253.50608909;6708777.23956574;2018700279000AH0009;895247.026805898;6708803.53542712;;;;;2;0;2;0;2;0;;1;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A08000042738BCA07522B41959775C694975941;
21754;N070GAY_S01H;AD700020805082;2;;Quai Vergy;;Gray;70100;70279;895223.932816643;6708795.85678315;0600;ADRNIVX_0000000278283442;895237.689358857;6708772.16317752;2018700279000AH0008;895229.745675263;6708786.01892563;;;;;1;0;1;0;1;0;;2;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A0800009C249ADDEF512B410089D5F68E975941;
18142;N070GAY_S01H;AD700020805083;4;;Quai Vergy;;Gray;70100;70279;895271.802107907;6708789.16700761;0600;ADRNIVX_0000000278283444;895280.878358889;6708781.69510604;2018700279000AH0010;895280.244515268;6708790.45676857;;;;;0;1;0;1;1;1;;2;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;VNF;Entreprises;;;;01010000206A0800003DE3AD9A4F522B41AE40B04A8D975941;
20111;N070GAY_S01H;AD700020805087;4;BIS;Quai Vergy;;Gray;70100;70279;895299.172543049;6708790.67327417;0600;ADRNIVX_0000000278283445;895304.503220703;6708785.47195716;2018700279000AH0097;895303.671521061;6708793.89922467;;;;;6;0;6;0;6;0;;2;I;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A080000FD8F575886522B4190EC16AB8D975941;
21952;N070GAY_S01H;AD700020805088;2;B;Rue Vergy;;Gray;70100;70279;895303.889344052;6708814.03307001;0610;ADRNIVX_0000000339679451;895302.317214247;6708822.19039432;2018700279000AH0110;895300.484793316;6708823.70396863;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;;;;;;01010000206A080000821A58C78F522B41B2D11D8293975941;
22075;N070GAY_S01H;AD700020805089;5;;Quai Vergy;;Gray;70100;70279;895348.749835308;6708824.73987785;0600;ADRNIVX_0000000278283447;895350.035276897;6708792.52492397;2018700279000AH0013;895358.636730305;6708849.03014061;;;;;0;1;0;1;1;1;;7;P;;;;;;;f;E;;2018-06-18 00:00:00;;;;;USINE;Entreprises;;;;01010000206A080000DB69EA7FE9522B41A3285A2F96975941;
